,title,link_product
0,Apple iPhone 15 Pro Max 256GB Chính hãng (VN/A),https://www.lazada.vn/products/apple-iphone-15-pro-max-256gb-chinh-hang-vna-i2416996609.html
1,iPhone 15 Plus - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/iphone-15-plus-hang-chinh-hang-vna-i2417254495.html
2,iPhone 14 Plus - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/iphone-14-plus-hang-chinh-hang-vna-i2017749016.html
3,iPhone 15 Pro - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/iphone-15-pro-hang-chinh-hang-vna-i2417249565.html
4,iPhone 15 - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/iphone-15-hang-chinh-hang-vna-i2417259469.html
5,Apple iPhone 15 Pro 1TB Chính hãng VN/A [Viettel Store],https://www.lazada.vn/products/apple-iphone-15-pro-1tb-chinh-hang-vna-viettel-store-i2416583278.html
6,iPhone 13 - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/iphone-13-hang-chinh-hang-vna-i1525577176.html
7,Apple iPhone 15 Pro 256GB Chính hãng (VN/A),https://www.lazada.vn/products/apple-iphone-15-pro-256gb-chinh-hang-vna-i2417082334.html
8,iPhone 14 - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/iphone-14-hang-chinh-hang-vna-i2018265056.html
9,iPhone 11 - Hàng Chính Hãng VN/A,https://www.lazada.vn/products/iphone-11-hang-chinh-hang-vna-i900924449.html
10,Apple iPhone 13 128GB Chính Hãng (VN/A),https://www.lazada.vn/products/apple-iphone-13-128gb-chinh-hang-vna-i1848816542.html
11,Apple iPhone 15 Pro 128GB Chính hãng VN/A [Viettel Store],https://www.lazada.vn/products/apple-iphone-15-pro-128gb-chinh-hang-vna-viettel-store-i2416602219.html
12,Apple iPhone 15 Pro Max 256GB Chính hãng VN/A [Viettel Store],https://www.lazada.vn/products/apple-iphone-15-pro-max-256gb-chinh-hang-vna-viettel-store-i2416609251.html
13,Apple iPhone 15 256GB Chính hãng VN/A [Viettel Store],https://www.lazada.vn/products/apple-iphone-15-256gb-chinh-hang-vna-viettel-store-i2416456721.html
14,Apple iPhone 15 Pro Max 256GB,https://www.lazada.vn/products/apple-iphone-15-pro-max-256gb-i2418296292.html
15,Apple iPhone 15 Pro 128GB,https://www.lazada.vn/products/apple-iphone-15-pro-128gb-i2418355024.html
