itemid,shopid,name,stock,ctime,sold,historical_sold,liked_count,cmt_count,price,options,item_rating,PlatformID,ProductID
20493037179,88201679,Điện thoại Apple iPhone 15 Pro Max 256GB,3421,1694575155,3178,17844,5203,3499,3149000000000,"['Titan - Tự Nhiên', 'Titan - Xanh', 'Titan - Trắng', 'Titan - Đen']",4.9542972118424835,PL03,P001
21993222972,288286284,Điện thoại Apple iPhone 15 Pro Max 256GB,282,1695036573,420,2366,1700,455,3188000000000,"['Natural Titanium', 'Black Titanium', 'White Titanium', 'Blue Titanium']",4.98021978021978,PL03,P001
23354704062,308461157,Apple iPhone 15 Pro Max 256GB Chính hãng VN/A,841,1694660933,1564,5817,2556,1116,3209000000000,"['Natural Titanium', 'Blue Titanium', 'White Titanium', 'Black Titanium']",4.962365591397849,PL03,P001
25609861776,487028617,Điện thoại  iPhone 15 Pro Max 256GB - Hàng Chính Hãng,431,1705905220,61,136,179,28,3273000000000,"['Titan Đen', 'Titan Trắng', 'Titan Xanh', 'Titan Tự Nhiên']",4.857142857142857,PL03,P001
22680632785,288286284,Apple iPhone 15 Pro Max 512GB,14,1695036681,0,135,215,29,3949000000000,"['Natural Titanium', 'Black Titanium', 'White Titanium', 'Blue Titanium']",5.0,PL03,P001
24109867358,487028617,Điện thoại  iPhone 15 Pro Max 512GB - Hàng Chính Hãng,60,1705905662,1,3,28,0,4130000000000,"['Titan Đen', 'Titan Trắng', 'Titan Xanh', 'Titan Tự Nhiên']",0.0,PL03,P001
23283124480,92532150,[Trả góp 0%]  iPhone 15 Promax 256GB - Hàng Chính Hãng [Futureworld- APR],2,1697099800,0,21,77,5,3639000000000,"['Black titanium', 'White titanium', 'Natural titanium', 'Blue titanium']",5.0,PL03,P001
25407404977,65589552,"Điện thoại Samsung Galaxy S24 Ultra 12GB/256GB, Điện thoại AI, Camera 200MP Zoom 100x, S Pen, Snapdragon 8 Gen 3",81,1704790104,268,389,485,129,3399000000000,"['Vàng', 'Xám', 'Đen', 'Tím']",4.7984496124031,PL03,P002
23262276237,65589552,[Nhập ELSS15B2 Giảm 10%] Bộ sưu tập giới hạn: Điện thoại Samsung S23 Ultra 8GB/256GB + Phụ Kiện Samsung Cao Cấp,56,1701854807,39,417,439,125,2649000000000,"['Đen', 'Hồng', 'Kem']",4.824,PL03,P002
25459685398,48406301,Điện thoại Samsung Galaxy S24 / S24 Plus / S24 Ultra - Hàng chính hãng,5443,1705813273,265,454,51,124,1799000000000,"['Đen', 'Vàng', 'Tím', 'Xám', 'Xanh Dương', 'Xanh Lục', 'Cam Cát']",4.991935483870968,PL03,P002
24261392792,68527388,"Điện thoại Samsung Galaxy S24 Ultra - Hàng Chính Hãng, Mới 100%, Nguyên Seal",678,1706523780,72,79,54,31,2820000000000,"['Xanh dương Titan', 'Xanh lục Titan', 'Xám Titan', 'Đen Titan', 'Tím Titan', 'Vàng Titan', 'Cam Titan']",4.935483870967742,PL03,P002
24361345579,65589552,Điện Thoại Samsung Galaxy S23 FE 5G 8GB/128GB,8,1706509491,8,8,52,4,1449200000000,"['Xám', 'Tím']",5.0,PL03,P002
22488687900,507755150,[SAMSUNG Galaxy S23 Ultra] - Điện Thoại Samsung Galaxy S23 Ultra  New Seal - TechWatchVN,22,1702967641,16,53,10,13,2449000000000,"['Light Pink', 'Beige', 'Green', 'Black']",5.0,PL03,P002
18291182009,1039322456,Điện thoại Samsung Galaxy S23 5G Ultra - Hàng Chính hãng,10,1690215135,13,103,14,48,2289000000000,"['Xanh', 'Đen', 'Tím', 'Kem']",5.0,PL03,P002
23382484634,182298008,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB),8,1696593958,7,22,1,12,2399000000000,"['Tím Lilac', 'Đen Plantom', 'Kem Cotton', 'Đen']",5.0,PL03,P002
20593143003,42787830,Điện thoại Samsung Galaxy S23 Ultra 5G 2sim Mới 100% | Nguyên Seal Fullbox Quốc tế chính hãng ( Snapdragon 8 Gen 2),29,1694799860,4,6,18,5,1879000000000,"['256GB / Quốc tế', '512GB/ Quốc tế', '256GB/ VN', '512GB/ VN']",4.4,PL03,P002
20390644655,48406301,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Hàng chính hãng mới 100% New Seal,83,1689087150,3,105,21,31,2149000000000,"['Đen Phantom', 'Xanh Green', 'Vàng Cream', 'Tím Lavender', 'Xám Graphite', 'Xanh BlueSky', 'Đỏ Cam', 'Xanh Lime']",5.0,PL03,P002
24603675737,45958676,[Điện thoại] Samsung Galaxy S23 Ultra 12GB/512GB - Hàng chính hãng New Seal,37,1702714646,2,3,2,2,2649000000000,"['Đen Phantom', 'Vàng Cream', 'Xanh Green', 'Tím Lavende', 'Xám Graphite', 'Xanh BlueSky', 'Đỏ Cam', 'Xanh Lime']",5.0,PL03,P002
17197718277,1013588070,Điện Thoại Samsung Galaxy S23 Ultra - Hàng Chính Hãng,29,1686209771,2,1288,189,511,2199000000000,"['TÍM', 'KEM', 'XANH', 'ĐEN']",5.0,PL03,P002
24508410132,1107128132,Samsung Galaxy S23 Ultra 5G,32,1705166418,1,7,0,5,2499000000000,"['Xanh', 'Đen', 'Kem', 'Tím']",5.0,PL03,P002
24258723406,1165274448,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Chính hãng,799,1705393164,1,1,3,1,2199000000000,"['Xanh', 'Đen', 'Tím', 'Kem']",5.0,PL03,P002
23481654966,424715,"Điện thoại Samsung Galaxy S23 Ultra (256GB/512GB) - Hàng Chính Hãng, Bảo Hành 12 Tháng",7,1695810683,1,3,8,2,2164900000000,"['8GB/256GB', '12GB/512GB']",5.0,PL03,P002
23552433367,1037677547,Điện Thoại Samsung Galaxy S23 Ultra 5G 1TB - Hàng Chính Hãng,2,1692874365,0,0,0,0,4499000000000,"['Black', 'Green', 'Cream', 'Lavender']",0.0,PL03,P002
22081311841,1068306860,Điện Thoại Samsung Galaxy S23 Ultra | 256GB - 512GB - 1TB,45,1695539242,0,0,0,0,3199000000000,"['Xanh Botanic', 'Đen Phantom', 'Kem Cotton', 'Tím Lilac']",0.0,PL03,P002
16895499898,95497682,Điện thoại Samsung Galaxy S23 Ultra 5G 2sim Quốc tế chính hãng New Seal Fullbox ( Snapdragon Gen2/ 256GB/512GB/1TB ),17,1690861432,0,0,3,0,1879000000000,"['8/256GB Quốc tế', '12/512GB Quốc tế', '12GB/1TB Quốc tế']",0.0,PL03,P002
24859181995,507755150,"[Điện thoạ Samsung Galaxy S24 Ultra ] Điện thoại Samsung Galaxy S24 Ultra, Camera 200MP Zoom 100x, S Pen - TechWatchVN",105,1705570469,2,36,42,13,2699000000000,"['Xám Titan', 'Đen Titan', 'Tím Titan', 'Vàng Titan', 'Xanh Dương Titan', 'Xanh Lục Titan', 'Cam Titan']",5.0,PL03,P002
23859971329,23793258,"Điện thoại Samsung Galaxy A54 5G 8GB/256GB - Màn hình Super AMOLED 120Hz, Chipet  Exynos 1380, Bảo hành độc quyền 2 năm",33,1698896141,12,21,29,9,879000000000,"['Đen', 'Xanh', 'Tím']",5.0,PL03,P002
21738801211,23793258,Điện Thoại Samsung Galaxy Z Flip4 5G 256GB Chính Hãng,8,1661490966,1,7,49,2,2599000000000,"['Xám Graphite', 'Xanh Lovebird', 'Tím Bora', 'Hồng Champagne']",5.0,PL03,P002
