orderid,itemid,cmtid,ctime,rating,userid,shopid,comment,rating_star,skin_suitability,absorption,model_name
151765465303525,23354704062,12990130206,1698229652,1,983605779,308461157,"#NGOCNAM mua điện thoại trên shopee mà ở shop viettel thì uy tín và chất lượng rồi. Bảo hành và đóng hàng rất cẩn thận luôn 🥰🥰🥰
Ae cứ mua vô tư nhé",5,,,White Titanium
151765451286530,23354704062,12990114433,1698229574,1,983605779,308461157,#NGOCNAM mua điện thoại trên shopee mà ở shop viettel thì uy tín và chất lượng rồi. Bảo hành và đóng hàng rất cẩn thận luôn 🥰🥰🥰,5,,,Natural Titanium
153344379276192,23354704062,13356007615,1701126875,1,674577297,308461157,"Chất lượng sản phẩm:Tốt
Đúng với mô tả:Đúng

Sản phẩm chính hãng , lần đầu tiên mình mua của cửa hàng viettel store , mà mua online viettel store vẫn có giấy bảo hành đầy đủ , đóng gói cẩn thận",5,,,Natural Titanium
152471000252880,23354704062,13081924214,1698998538,1,1091901459,308461157,"Đúng với mô tả:chuẩn
Tính năng nổi bật:ok
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,Natural Titanium
152471017285955,23354704062,13081904362,1698998425,1,1091902793,308461157,"Đúng với mô tả:chuẩn
Tính năng nổi bật:ok
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,Natural Titanium
153370761292503,23354704062,13220983123,1700057166,1,111175580,308461157,"Đúng với mô tả:đúng
Chất lượng sản phẩm:tốt
Tính năng nổi bật:đẹp

Sản phẩm đúng như mô tả chất lượng tốt, săn sale nên được giá tốt giao hàng nhanh chóng, sẽ ủng hộ shop thêm",5,,,White Titanium
150571795280452,23354704062,12856707953,1697180528,1,1040197630,308461157,"Chất lượng sản phẩm:tốt
Tính năng nổi bật:ok
Đúng với mô tả:chuẩn

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,Blue Titanium
153681510215876,23354704062,13257166605,1700307736,1,76585831,308461157,"Chất lượng sản phẩm:ok
Đúng với mô tả:ok
Tính năng nổi bật:ok

Hàng hoá ok ko có điểm chê săn dc giá rẻ nữa quá ok ui . Hy vọng chính sách hậu mãi tốt .",5,,,Natural Titanium
156013205233570,23354704062,13547024579,1702567167,1,272644748,308461157,"Chất lượng sản phẩm:tuyeetj vowif
Đúng với mô tả:đúng màu

Sản phẩm ok. Mua trên này đc mã voucher rất tốt . Hàng đẹp . Sau này sẽ mua tiếp cho gia đình và bạn bè dùng",5,,,Natural Titanium
152470978313621,23354704062,13081856331,1698998147,1,1042074416,308461157,"Tính năng nổi bật:ok
Đúng với mô tả:chuẩn
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,Natural Titanium
151002122227103,23354704062,12916827630,1697616735,1,1040196827,308461157,"Đúng với mô tả:chuẩn
Tính năng nổi bật:ok
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,Blue Titanium
151002067246307,23354704062,12937045656,1697775099,1,1042095193,308461157,"Đúng với mô tả:chuẩn
Tính năng nổi bật:ok
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,White Titanium
153366200213887,23354704062,13185738795,1699851498,1,106509859,308461157,"Chất lượng sản phẩm:Tuyet voi
Đúng với mô tả:Chuẩn

Lần đầu mua giá trị cao trên shopee cũng hơi sợ nhưng nhận máy quá nhanh luôn 11 đặt 13 đã nhận dc rồi",5,,,Natural Titanium
151002102262568,23354704062,12916787610,1697616537,1,1040197630,308461157,"Tính năng nổi bật:ok
Đúng với mô tả:chuẩn
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đứng như mô tả, đóng gói cẩn cẩn thận. Giao hàng nhanh",5,,,Blue Titanium
151002025288340,23354704062,12916810585,1697616651,1,1042074416,308461157,"Đúng với mô tả:chuẩn
Tính năng nổi bật:ok
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận giao hàng nhanh",5,,,White Titanium
150571736219274,23354704062,12856614667,1697180082,1,1042095193,308461157,"Tính năng nổi bật:ok
Chất lượng sản phẩm:tốt
Đúng với mô tả:chuẩn

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,Blue Titanium
157213502206464,23354704062,13709561827,1703832859,1,1095951868,308461157,"Chất lượng sản phẩm:Máy mới nguyên seal shop.chat thân thiện hỗ trơ nhanh chóng
Tính năng nổi bật:Máy mới nguyên seal shop.chat thân thiện hỗ trơ nhanh chóng

Máy mới nguyên seal shop.chat thân thiện hỗ trơ nhanh chóng",5,,,White Titanium
153335169286420,23354704062,13221228341,1700058246,1,5606253,308461157,"Giao hàng mất 3 ngày, shop bọc chống sốc cẩn thận, may là máy ko bị lỗi hình thức. Săn sale nên giá cũng oke",5,,,White Titanium
157198034242027,23354704062,13704182821,1703775331,1,1091922533,308461157,"Chất lượng sản phẩm:tốt
Đúng với mô tả:Chuẩn
Tính năng nổi bật:ok

Hành nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,White Titanium
156068455253262,23354704062,13601122214,1702925667,1,45690788,308461157,"Đúng với mô tả:ok
Chất lượng sản phẩm:ok
Tính năng nổi bật:ok

Săn sale đc 31 triệu thời điểm 12/12 chắc cũng rẻ hơn các shop bán 1-2tr. Nói chung ổn áp hình thức ok.",5,,,Blue Titanium
152507327281083,23354704062,13081686867,1698997180,1,1021006619,308461157,"Đúng với mô tả:Chuẩn
Tính năng nổi bật:tốt
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,White Titanium
154502825241183,23354704062,13337221757,1700969447,1,111164184,308461157,"Tính năng nổi bật:dynamic íland
Đúng với mô tả:chuẩn chính hãng

Giá tốt chính hãng giao nhanh, săn sale giá giảm sâu đáng mua sẽ ủng hộ tiếp.",5,,,Blue Titanium
155110853270561,23354704062,13524731888,1702442365,1,1102309321,308461157,"Đúng với mô tả:ok
Tính năng nổi bật:ok
Chất lượng sản phẩm:okok

Sản phẩm tốt. Chế độ bảo hành ok. Sẽ ủng hộ lần sau. Tks",5,,,Natural Titanium
152507220281528,23354704062,13092772384,1699085413,1,390988103,308461157,"Tính năng nổi bật:ok
Đúng với mô tả:chuẩn
Chất lượng sản phẩm:tốt

Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh",5,,,White Titanium
153334954288052,23354704062,13202851449,1699954443,1,319855919,308461157,"Tính năng nổi bật:flex
Đúng với mô tả:Đúng
Chất lượng sản phẩm:Very good

Máy rất đẹp không có gì để chê ngoài giá 🤭.
Lần đầu mua iPhone của shop mà đóng gói giao hàng rất nhanh. 31.5
5 sao cho shop*****",5,,,White Titanium
157136404210352,23354704062,13686862808,1703651780,1,319855919,308461157,"Đúng với mô tả:Đúng
Chất lượng sản phẩm:Tốt
Tính năng nổi bật:flex

Hàng chính hãng 
Viettel phân phối có bill đầy đủ nên yên tâm
Giá 32.2 tốt",5,,,Natural Titanium
153336928306840,23354704062,13554795610,1702627666,1,89190037,308461157,"Chất lượng sản phẩm:ngon
Đúng với mô tả:có
Tính năng nổi bật:múi mít theo cả đàn

Điện thoại ngon không tì vết nha mọi người",5,,,Natural Titanium
157828410271010,23354704062,13826249757,1704814708,1,5692119,308461157,"Tính năng nổi bật:Nhu quang cáo
Chất lượng sản phẩm:mới dùng chưa đánh giá
Đúng với mô tả:đúng

Hơi run vì mặt hàng có giá trị cao nhưng mua từ viettel nên đánh liều! Nhận hàng mới dùng khá ok nhé",5,,,Black Titanium
155113643233188,23354704062,13601192308,1702928950,1,116814741,308461157,"Chất lượng sản phẩm:ok
Tính năng nổi bật:đẹp
Đúng với mô tả:ok

Shop đóng gói chắc chắn
Giao hàng nhanh sẽ mua thêm nhiều đồ nữa
Biếng chụp máy nên lấy ảnh khác ạ hihi",5,,,Black Titanium
153346941275987,23354704062,13269041863,1700401893,1,599941201,308461157,"Chất lượng sản phẩm:tốt
Đúng với mô tả:đúng
Tính năng nổi bật:theo mô tả

Sản phẩm đúng mô tả nha mọi người

Giao hàng nhanh tuyệt đối luôn nha mọi người.

Chất lượng đã qua kiểm chứng nha mọi người

Chốt lại là sản phẩm này nên mua nha mọi người.",5,,,Natural Titanium
157664358200496,23354704062,13754242021,1704273879,1,64684817,308461157,"Chất lượng sản phẩm:qua tuyet voi apple
Đúng với mô tả:dung voi nhung gi mo ta
Tính năng nổi bật:chức năng nào cũng nổi bật",5,,,Natural Titanium
153408945221556,23354704062,13308857365,1700725885,1,717220314,308461157,"Đúng với mô tả:Hàng đúng với mô tả lần đầu tiên mua hàng trên shop Pi với giá trị tiền quá lớn mình rất lo nhưng khi nhận lại kết quả thì rất tốt mọi người nên mua nhé￼
Tính năng nổi bật:Tính năng nổi bật chất liệu sản phẩm của tôi",5,,,White Titanium
153334985317881,23354704062,13374723768,1701260626,1,91631406,308461157,"Tính năng nổi bật:doi moi nhat
Chất lượng sản phẩm:tốt
Đúng với mô tả:đúng

Giao hàng nhanh, dịch vụ bán hàng tốt. Nói chung khá hài lòng. Mua của vietell nên yên tâm chứ giá trị lớn cũng hơi sợ sợ.",5,,,Black Titanium
152525764209303,23354704062,13088707838,1699060671,1,251669652,308461157,"Tính năng nổi bật:Ip 15 prm new
Chất lượng sản phẩm:rât đẹp, khôg lỗi gì

shop giao nhanh, chiều hôm trc thanh toán hôm sau nhận hàng luôn, đóng gói kĩ dán tem quanh hộp nên rất yên tâm",5,,,White Titanium
153680408281055,23354704062,13507940988,1702306992,1,626468544,308461157,"Đúng với mô tả:dung
Tính năng nổi bật:ko biet
Chất lượng sản phẩm:rat tot

Máy màu rất đẹp, săn được giá hợp lí. Sẽ ủng hộ tiếp",5,,,Natural Titanium
156067898214222,23354704062,13570594867,1702720292,1,186887712,308461157,"Đúng với mô tả:nguyên seal
Tính năng nổi bật:trắng titan
Chất lượng sản phẩm:rất tốt .

Lúc đầu mua cũng sợ vì tham khảo thấy 15 promax bị lỗi nhiều (loa rè , màn hình lỗi , mau nóng ... ) do 12-12 săn đc online giá tốt quá liều đặt mua luôn . kết quá bất ngờ máy rất perfec loa hay , màn hình đẹp mượt xài cũng ko nóng... đặt hàng bên viettel cũng lại yên tâm vì nếu bị lỗi có thể ra viettel store lỗi miễn chưa acive và có kèm giấy hoá đơn nữa !",5,,,White Titanium
153681482305196,23354704062,13553700045,1702623092,1,61019673,308461157,"Đúng với mô tả:chuẩn
Chất lượng sản phẩm:ok

Săn sale 11/11 còn 32tr022 đth chính hãng dùng ổn áp viettel bán hàng uy tín. Lần đầu tiên trải nghiệm mua đth online khá ổn",5,,,Natural Titanium
154503883219212,23354704062,13473334988,1702034874,1,1058504605,308461157,"Đúng với mô tả:đúng với mô tả
Chất lượng sản phẩm:chuẩn sinh

Hàng mới, đẹp. Màu sịn sò, bảo hành tốt. Hình ảnh mang tính chất nhận xu",5,,,White Titanium
