Reviewer name,Content,Rating,Rating date,Crawl date
Hưng L.,"Mình đặt hôm sáng 11/11 là tối nhận rồi, rất nhanh luôn á! Lần đầu mua điện thoại online trên này hơi rén nhưng mà cskh và dịch vụ ổn nên rất hài lòng.
Mình xài sau 2 tuần thấy ổn, không có vấn đề gì! Liên hệ với lzd lấy hoá đơn mua hàng cũng rất nhanh.
 Chất lượng: Tốt, không bị trầy xước. Hàng mới nguyên seal 100%
 ",5,26 thg 11 2023,2024-01-13
Dư T.,"Đã nhận được sản phẩm đúng hẹn. Đóng gói cẩn thận, sản phẩm còn nguyên tem chính hãng kèm tem của Lazada. Rất ưng ý vs sản phẩm ",5,30 thg 9 2023,2024-01-13
Nguyen H.,"Đã nhận hàng 10h sáng, mình là người đánh giá đầu tiên thì có được quà không shop 😆 Lần đầu tiên mua điện thoại qua Lazada, ban đầu khá lo lắng nhưng nhận rồi thì yên tâm hẳn, mấy lớp niêm phong, mua đi các bạn ơi, mua trên đây giá tốt nữa. Thích mê 🥰🥰🥰 ",5,29 thg 9 2023,2024-01-13
Nguyễn V.,"Dịch vụ khách hàng xuất sắc, Chip A17 mạnh mẽ cho việc đa nhiệm mượt mà,  ",5,4 ngày trước,2024-01-13
T***2,"giao hàng nhanh chóng, đóng gói caan thận chắc chắn, lhas là ok ",5,3 tuần trước,2024-01-13
Vũ N.,"Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao Hàng nhanh ",5,4 tuần trước,2024-01-13
Nhân T.,"Thiết kế sang trọng và hiện đại, Màu đẹp đổi dưới điều kiện ánh sáng khác nhau ",5,2 tuần trước,2024-01-13
9***4,Nhận hàng nhưng liên hệ với shop k ai trả lời. K có kèm giấy hoá đơn của shop nên k biết chế độ bảo hành ntn. ,5,3 tuần trước,2024-01-13
S***m,"Chất lượng:  xịn
 Chất liệu:  titan, nhẹ tay
 Tính năng:  full chức năng cần thiết
Máy cầm nhẹ tay hơn các dòng prm đời trước nhiều ",5,4 tuần trước,2024-01-13
phan V.,"Giao hàng hơi lâu, đặt hàng 12/12/2023 mà 15/12/2023 mới giao ",5,4 tuần trước,2024-01-13
t***.,"Tính năng:  tốt nhiều tính năng và công dụng 
 Chất lượng:  sd máy hơi nóng nha
 Chất liệu:  titanium 
Mình mua sale 12/12 giá rẻ hơn bên ngoài 
Cam iPhone 15 promax ta nói chụp ảnh lên sáng siêu đẹp luôn 
Ai muốn có ảnh slay mua liền nhé 
Và 14/12 nhận được máy ( tuy hơi lâu nha vì bữa đó mình thấy đã bán đc hơn 1300 chiếc lận ) 
Xài lâu là máy sẽ nóng nha dù mình đã nâp cấp lên ios 17.2.1 rồi mà nóng máy 
Có tem của lazasa và mình check imei thì ra nha nhưng thật sự vẫn sợ vì lầm đầu mua hàng giá trị cao như vậy luôn á hơn 30tr mà 
Hnay 28/12 mình mua đc 2 tuần rồi cảm thấy ok pin sd đc 1 ngày nha 
Mua thêm cục sạc,  sạc nhanh lắm 
 ",5,2 tuần trước,2024-01-13
8***9,"Giao hàng nhanh chóng và đáng tin cậy, Có thêm nhiều voucher ưu đãi dành cho khách hàng hơn nữa. Phương thức đăng nhập tiện ích và thanh toán không để bị treo tài khoản. Có 1 vài yếu tố cần khắc phục trong phương thức thanh toán hàng. ",5,14 thg 12 2023,2024-01-13
Vũ K.,"Chip A17 mạnh mẽ cho việc đa nhiệm mượt mà, Thời lượng pin lâu dài,  ",5,3 ngày trước,2024-01-13
Triết,Máy mới nguyên seal như mô tả. Mình mới dùng được vài tiếng thấy rất hài lòng. ,5,13 thg 12 2023,2024-01-13
9***3,"Hiệu năng mượt mà và nhanh chóng, Dung lượng lưu trữ ấn tượng,  ",5,13 thg 12 2023,2024-01-13
Hoanghuy D.,Đóng gói cẩn thận chu đáo. Sản phẩm đẹp đúng màu ưng ý. Sẽ quay lại shop mua ,5,2 tuần trước,2024-01-13
Nguyễn N.,"Sử dụng chất liệu cao cấp, Dung lượng lưu trữ ấn tượng, Hệ điều hành iOS tiện lợi và dễ sử dụng, Dịch vụ khách hàng xuất sắc,  ",5,14 thg 12 2023,2024-01-13
0***9,"Thiết kế sang trọng và hiện đại, Giao hàng nhanh chóng và đáng tin cậy,  ",5,13 thg 12 2023,2024-01-13
8***9,"Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh  ",5,13 thg 12 2023,2024-01-13
T***.,"Thời lượng pin lâu dài, Chip A17 mạnh mẽ cho việc đa nhiệm mượt mà, Hệ điều hành iOS tiện lợi và dễ sử dụng, Giao hàng nhanh chóng và đáng tin cậy,  ",5,3 tuần trước,2024-01-13
V***.,"Giao hàng nhanh, đóng gói chắc chắn. Nhân viên giao hàng cẩn thận! ",5,13 thg 12 2023,2024-01-13
8***9,Có thêm nhiều voucher ưu đãi dành cho khách hàng hơn nữa. Phương thức đăng nhập tiện ích và thanh toán không để bị treo tài khoản. Có 1 vài yếu tố cần khắc phục trong phương thức thanh toán hàng. ,5,14 thg 12 2023,2024-01-13
K***8,"Chip A17 mạnh mẽ cho việc đa nhiệm mượt mà, Thời lượng pin lâu dài,  ",5,23 thg 11 2023,2024-01-13
8***9,Có thêm nhiều voucher ưu đãi dành cho khách hàng hơn nữa. Phương thức đăng nhập tiện ích và thanh toán không để bị treo tài khoản. Có 1 vài yếu tố cần khắc phục trong phương thức thanh toán hàng. ,5,14 thg 12 2023,2024-01-13
A***.,"Giao hàng nhanh chóng và đáng tin cậy, Màu sắc hiển thị sống động, Thời lượng pin lâu dài,  ",5,18 thg 11 2023,2024-01-13
Ngọc C.,"Lần đầu mua điện thoại onl hàng chính hãng, giao hàng nhanh. Mua được màu mình thích giá hời nửa!!! ",5,16 thg 11 2023,2024-01-13
N***.,"tuyet voi luon. hang chinh hang. dep. chuan
lan đầu mua số tiền lớn mà hài lòng thế này ",5,13 thg 11 2023,2024-01-13
8***9,Đã nhận được hàng chuẩn hàng chính hangc giao hang nhanh đóng gói cẩn thận ,5,14 thg 11 2023,2024-01-13
Vũ N.,"Tính năng:  ok
 Chất lượng:  tốt 
 Chất liệu:  đẹp 
Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh  ",5,13 thg 11 2023,2024-01-13
9***3,"Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh  ",5,13 thg 11 2023,2024-01-13
Nguyễn H.,"Giao hàng cực nhanh, shipper kĩ tính hàng lazada mall thì không có gì bàn cãi.  ",5,11 thg 11 2023,2024-01-13
Teddy N.,"Hàng nhận đẹp đúng như mô tả, đóng gói cẩn thận. Giao hàng nhanh  ",5,4 tuần trước,2024-01-13
Minh N.,"Sản phẩm chính hãng, không hề có sự sai sót nào từ sản phẩm đến việc đóng gói, giao sản phẩm.
Giá săn sale rất tốt, rẻ hơn các trung tâm điện thoại lớn rất nhiều. ",5,4 tuần trước,2024-01-13
Teddy N.,"Hàng nhận đẹp chuẩn như mô tả, giao hàng nhanh chuẩn thời gian  ",5,19 thg 11 2023,2024-01-13
Mạnh H.,"Sử dụng chất liệu cao cấp, Hàng chuẩn chính hãng lsau lại ủng hộ shop ",5,19 thg 11 2023,2024-01-13
M***.,"Sử dụng chất liệu cao cấp, Hàng chuẩn chính hãng lsau lại ủng hộ shop ",5,19 thg 11 2023,2024-01-13
P***.,"Tính năng: điện thoại
 Chất lượng: tốt
 Chất liệu: titan
Hàng chính hãng giao hàng nhanh đóng gói kỹ, mua hàng giá trị cao nhưng rất yên tâm, đặt buổi sáng chiều tối có hàng luôn tuyệt vời , hàng mới nguyên seal nguyên kiện ko chê vào đâu đc , sẽ ủng hộ tiếp tục  ",5,28 thg 10 2023,2024-01-13
Cường N.,"Chất lượng: oki
 Chất liệu: oki
 Tính năng: oki
 ",5,27 thg 10 2023,2024-01-13
N***.,"Lần đầu đặt hàng qua lazada mall, giao hàng nhanh, đặt tối là chiều mai có liền, rất ưng ý ",5,27 thg 10 2023,2024-01-13
Trung N.,Giao hàng nhanh. Gói hàng cẩn thận. Còn về IP thì không cần phải nhận xét rồi. Hình ảnh bên dưới chỉ mang tính chất nhận xu. Đc quay và chụp bằng chính IP mới mua.  ,5,05 thg 10 2023,2024-01-13
Nguyễn N.,"Tính năng: camera đẹp chụp tối ok
 Chất lượng: cầm nhẹ hơn 14. Cạnh sau vát cho cảm giác cầm nắm thoải mái hơn
 Chất liệu: titanium nhám đỡ bám vân tay, nhìn sang trọng
 ",5,02 thg 10 2023,2024-01-13
Lê Đ.,"
Chất lượng sản phẩm tuyệt vời! Đóng gói cẩn thận! Vận chuyển hàng nhanh! Sẽ ủng hộ shop lâu dài.😎
 ",5,12 thg 10 2023,2024-01-13
Hoàng T.,Hàng chuẩn ngon lành cành đào ,5,01 thg 10 2023,2024-01-13
c***n,"
Cám ơn Shop và Team CS Lazada đã cho Mình sự trải nghiệm tuyệt vời trong đợt ngày mở bán! Săn được màu yêu thích và dung lượng sử dụng phù hợp, giao nhanh, được mã giảm giá tốt!

[iPhone 15 Pro Max]

• Box có thêm bảo mật, dùng UV sẽ thấy.

• Màu natural titanium. Rất đẹp.

• Viền màn hình mỏng hơn nhiều.

• Cầm ko thấy nhẹ hơn.

• Cáp USB dây dù nhìn xịn hơn hẳn.

• Cổng USB-C bự hơn lightning xíu xíu. C bự hơn L, nhưng C sẽ sạc đc cho L, kiểu nào C cũng bị L hút sạch pin thôi :)))

• Camera nhìn to hơn xíu xiu, đc cái cụm cam nhìn cũng vậy ko to hơn.

• Tất cả các nút đều bấm đc chứ ko phải bám ứng hay force touch gì đâu.

• Camera zoom 5x, chụp bình thường xong có thể chuyển thành chân dung, cùng 1 tấm hình, ko cần chụp lại.
💕 ",5,01 thg 10 2023,2024-01-13
Chi,"- Giao hàng: Mình đặt trước từ 22/09. Ngày 28/09 shop bắt đầu giao cho vận chuyển. Do ở HN nên giao từ HCM đến ngày 02/10 mình mới nhận được. Tuy hơi muộn nhưng mua được giá quá ư là oke nên khum sao hết hi
- Đóng gói: Phải nói khoản đóng gói của Lazada quá đỉnh. Hộp giao tới tay không chút móp méo nào. Nhân viên LEX giao hàng thân thiện rất okela
- Giá: Mua trên sàn áp được mã giảm thẻ như Sacombank, Techcombank,… và mã giảm shop + mã sàn nên ưng lắm
- Màu Blue có lẽ gây tranh cãi nhất nhưng do từ lúc lúc giới thiệu Iphone 15 mình đã thích màu Blue nên dù màu Natural hot quá trời hot mình vẫn chọn màu Blue. Đúng là không thất vọng màu Blue bên ngoài sang xịn cực kì mê lắm. Rất recommend các bác mua màu Blue có hàng sẵn mà đẹp cực kì. Màu sẽ đổi ánh theo ánh sáng khác nhau. Không hề giống 12 pro max một chút nào nên mọi người yên tâm. 
- Chất liệu Titanium nên cầm Pro Max thấy nhẹ hơn hẳn so với 13 và 14. Năm nay chuyển đổi cổng type c nên mình dùng chung sạc Macbook đi đâu cũng đỡ bất tiện. 
- Mình đính kèm thêm một số ảnh thật các bác tham khảo nha. Bức ảnh selfi đầu tiên khai máy lun hí hí ",5,04 thg 10 2023,2024-01-13
Ngọc N.,Năm nay màu tím sao lắm người chê vậy. Mà hàng lại nhiều nữa. Này 30/9 nhận hàng bán lại cho ae thợ được 33tr còn màu trắng và tự nhiên thì vẫn đc gần 37tr. Chán cho cái màu blue này thật :(( ,5,30 thg 9 2023,2024-01-13
NHỊ N.,"Màu blue đậm, nhìn sang quí phái, không biết tại sao mọi người lại không thích, tôi cũng không hiểu. Nhìn rất đẹp, nên mua màu này nha cả nhà. ",5,30 thg 9 2023,2024-01-13
Hanh,"Giao hàng rất nhanh, giá cả tốt, đã mua nhiều lần, sẽ mua nữa lần sau hàng rat chat luong ",5,30 thg 9 2023,2024-01-13
thienthien19,Màu xanh đẹp xỉu máy nhẹ hơn năm trước  ,5,30 thg 9 2023,2024-01-13
Đình T.,máy xịn xài mượt ,5,29 thg 9 2023,2024-01-13
Đ***.,"Chất liệu:  nhẹ đáng kể, mình đang xài 13pm lẫn 14pm lên 15pm cảm nhận rõ rệt đỡ bị cấn tay
 Chất lượng:  xứng đáng công chờ đợi lazada ship hàng đúng ngày, màu Blue thực tế cầm ở ngoài đúng sang vậy mà ai cũng chê không hiểu được
 Tính năng:  hài lòng ",5,30 thg 9 2023,2024-01-13
Phuong B.,"Hàng giao nhanh, giá tốt, hàng chất lượng, shipper cực kỳ nhiệt tình, đóng gói okie . Sẽ mua nhiều lần nữa ",5,4 ngày trước,2024-01-13
0***7,Tuyệt vời. Giao hàng rất là nhanh. Sản phẩm thì đúng là ai phôn.  ,5,1 tuần trước,2024-01-13
Phuong B.,"Hàng chất lượng, đóng gói cần cẩn thận hơn chút nữa ",5,4 tuần trước,2024-01-13
Nhu P.,"Chất lượng:  chính hảng
 Chất liệu:  chính xác
 Tính năng:   chuẩn 👌👌👌👍👍👍👍 ",5,4 tuần trước,2024-01-13
Bùi T.,Cũng được! Cũng được! Cũng được! Cũng được! Cũng được! Cũng được!  ,5,4 tuần trước,2024-01-13
T***.,"Shop đóng gói rất tốt,sp ưng ý,giao nhanh,Mình sẽ còn mua nhiều sp sau này của Shop…Chỉ lưu ý thêm là Shop lên cho đồng kiểm hàng thì sẽ thoải mái hơn,nếu lỗi thẩm mĩ hoặc lỗi phần cứng thì sẽ được đổi trả nhanh chóng hơn ",5,13 thg 12 2023,2024-01-13
l***.,"nhận hàng nhanh,  ",5,13 thg 11 2023,2024-01-13
Bùi T.,"Giao hàng nhanh. Đóng gói tốt.
Nếu săn được mã gg của ngân hàng thì giá ổn áp hơn. Mua với giá bt. ",5,13 thg 11 2023,2024-01-13
Nguyễn V.,"Sản phẩm chính hãng, dùng được tháng chưa thấy bị gì, anh chị yên tâm mua nha. ",5,20 thg 11 2023,2024-01-13
Lê T.,"Hàng chuẩn apple nha cả nhà , shop mall nên cũng yên tâm , săn được với giá khá hời , nếu mọi người không ngại mua hàng online có thể lựa chọn em nó ",5,6 ngày trước,2024-01-13
Đ***.,"giao hàng nhanh, chất lượng ok. giá ổk. sẽ ủng hộ tiếp. thanks  ",5,03 thg 12 2023,2024-01-13
****9,"Hệ điều hành iOS tiện lợi và dễ sử dụng, Chất lượng camera ấn tượng, Dịch vụ khách hàng xuất sắc,  ",5,5 ngày trước,2024-01-13
Kieu D.,"Màu sắc hiển thị sống động, Thiết kế sang trọng và hiện đại, Hiệu năng mượt mà và nhanh chóng, Hệ điều hành iOS tiện lợi và dễ sử dụng,  ",5,1 ngày trước,2024-01-13
Khánh K.,"Dung lượng lưu trữ ấn tượng, Hiệu năng mượt mà và nhanh chóng,  ",5,1 tuần trước,2024-01-13
L***u,"Thời lượng pin lâu dài, Chất lượng camera ấn tượng, Màu sắc hiển thị sống động,  ",5,5 ngày trước,2024-01-13
L***u,"Thiết kế sang trọng và hiện đại, Thời lượng pin lâu dài, Chip A17 mạnh mẽ cho việc đa nhiệm mượt mà,  ",5,5 ngày trước,2024-01-13
******231,Em để đệ ẹ về che điện fefvie Iê vjr vjr đi vjr vjr vjr đi vjr cơ đốnc  ,5,1 tuần trước,2024-01-13
Mai V.,Hàng giao nhanh gia tốt tôi rất hài lòng hàng giao nhanh giá tốt  ,5,5 ngày trước,2024-01-13
ThinhNguyen,"Sản phẩm tốt đạt đúng theo yêu cầu của nhà sản xuất, giao hàng nhanh ",5,5 ngày trước,2024-01-13
ThinhNguyen,"Sản phẩm tốt đạt đúng theo yêu cầu của nhà sản xuất, giao hàng nhanh ",5,5 ngày trước,2024-01-13
Nguyễn S.,Hàng giao nhanh giá tốt tôi rất hài lòng hàng cvh vccc vhb hhj v ,5,5 ngày trước,2024-01-13
B***.,"Quả săn sale 11.11 chất lượng thành công nhất từ trc đến giờ của mình, ship cực nhanh, tt đêm t7 mà cn mình nhận đc r, đóng gói cẩn thận, vận chuyển cũng cẩn thận đó ạ, ship có tâm. Sau khi dùng 1 tháng mình mới dám lên viết đgia ạ :”) trộm vía trộm vía ạ ",5,1 tuần trước,2024-01-13
Nguyên H.,"Sp Rất tốt hài lòng, đồng gói chạch chân  ",5,3 tuần trước,2024-01-13
M***.,"Sản phấm đúng mô tả, giá sales hợp lý, giao hàng nhanh chóng . . ",5,3 tuần trước,2024-01-13
Tu L.,"Chip A17 mạnh mẽ cho việc đa nhiệm mượt mà, Thiết kế sang trọng và hiện đại, Chất lượng camera ấn tượng,  ",5,3 tuần trước,2024-01-13
Nguyễn Đ.,"Chip A17 mạnh mẽ cho việc đa nhiệm mượt mà, Sử dụng chất liệu cao cấp, Giao hàng nhanh chóng và đáng tin cậy, Giao hàng nhanh chóng và đáng tin cậy,  ",5,4 tuần trước,2024-01-13
T***.,"Tính năng: tốt
 Chất lượng: tốt
 Chất liệu: 
Có gì để chê đâu,, chỉ là giá quá cao nên mua sẽ tiếc $$$ ;) chứ dùng thì thích quá dsi ",5,2 tuần trước,2024-01-13
N***.,"Nhẹ hơn so với các đời promax khác mà mình dùng, trvia đến thơi điểm này chưa có issue gì ",5,2 tuần trước,2024-01-13
Minh T.,"Hiệu năng mượt mà và nhanh chóng, Hệ điều hành iOS tiện lợi và dễ sử dụng, Màu sắc hiển thị sống động, Dịch vụ khách hàng xuất sắc,  ",5,3 giờ trước,2024-01-13
huy H.,Đúng như miêu tả hàng còn nguyên seal lần sau ủng hộ shop tiếp ,5,4 tuần trước,2024-01-13
