review,BATTERY,CAMERA,GENERAL,SER&ACC,PERFORMANCE,DESIGN,FEATURES,PRICE,SCREEN,STORAGE
Pin Sài tầm 50h cho pin 100/100,positive,,,,,,,,,
Camera ổn,,positive,,,,,,,,
tất cả đều OK,,,positive,,,,,,,
nhân viên thế giới di động trần văn thời cà mau nhiệt tình và vui vẻ ...chúc các ae sức khỏe tốt và phục ok hoài nha,,,,positive,,,,,,
Lag,,,,,negative,,,,,
hao pin,negative,,,,,,,,,
"Sam làm tệ quá, không bằng mấy con tàu cùng phân khúc",,,negative,,,,,,,
Cam chụp cũng gọi là tầm trung,,neutral,,,,,,,,
Nếu dùng lướt web bình thường thì có thể dùng được cả ngày,positive,,,,,,,,,
máy nóng lên thì pin tụt nhanh hơn tụt quần,negative,,,,,,,,,
"chính sách đổi trả rất tốt,rất yên tâm khi mua ở TGDD,quản lý ở 15A đường bà hôm phường 13 quận 6 nhẹ nhàng và vui tính,nhiên viên ai cũng nhiệt tình, hài lòng về cách chăm sóc khách hàng của các bạn",,,,positive,,,,,,
"kiểu dáng thì đẹp,cầm chắc tay",,,,,,positive,,,,
loa nhỏ quá,,,,,,,negative,,,
nhân viên phục vụ rất nhiệt tình,,,,positive,,,,,,
Máy loa to,,,,,,,positive,,,
bin trâu,positive,,,,,,,,,
game lp tuy chỉ bựt đc fqf30 nhưng chơi game như bựt 60fqs ko bị mỏi mắt ngon hơn joy 3 chơi nhìn như kiểu bị lắc ko mượt như c3i,,neutral,,,,,,,,
Hài lòng về sản phẩm. Mọi thứ đêu rât tốt,,,positive,,,,,,,
nghe nhạc xem phim chơi game âm thanh to và hay,,,,,,,positive,,,
máy quá OK,,,positive,,,,,,,
Pin trâu,positive,,,,,,,,,
máy mượt,,,,,positive,,,,,
cảm biến vân tay nhạy,,,,,,,positive,,,
"k nóng máy . Nhu cầu chơi game nên k cần gì hơn , liên quân vô nhanh gần ngang ip",,,,,positive,,,,,
Vs mức giá này mua con máy sài thấy quá hời luôn,,,,,,,,positive,,
Máy mượt,,,,,positive,,,,,
pin trâu,positive,,,,,,,,,
Gía này thì quá ổn,,,,,,,,positive,,
Gía rẻ như này,,,,,,,,positive,,
Máy màn hình lớn,,,,,,,,,positive,
nhận diện khuôn mặt nhanh,,,,,,,positive,,,
cấu hình tạm ổn cho các tác vụ cơ bản,,,,,neutral,,,,,
pin trâu,positive,,,,,,,,,
"NV TGDD Nhiệt Tình . Còn CTKM tặng tai nghe thì TGDD chưa làm tốt , ra mua máy thì chi nhánh tai nghe khg có hàng , phải đợi 10-15 ngày",,,,neutral,,,,,,
Nhân viên phục vụ nhiệt tình,,,,positive,,,,,,
máy với tầm giá này thì ổn,,,positive,,,,,,,
gọi zalo 10 phút là máy nóng,,,,,negative,,,,,
Máy ok về mọi thứ,,,positive,,,,,,,
Camera thì ko nét lấm,,negative,,,,,,,,
Riêng tôi ok,,,positive,,,,,,,
"Thiết kế đẹp , kiểu dáng sang trọng",,,,,,positive,,,,
"Nhất là pin, trâu lắm",positive,,,,,,,,,
tư vấn nhiệt tình,,,,positive,,,,,,
Tóm lại mới thứ đều ok,,,positive,,,,,,,
"Wifi hơi yếu, loa hơi nhỏ",,,,,,,negative,,,
chơi liên quân tạm ổn trung bình không nóng máy,,,,,neutral,,,,,
 1 trận nhiều nhất 6 %pin,positive,,,,,,,,,
Tốt,,,positive,,,,,,,
Giá cả tốt rồi,,,,,,,,positive,,
sạc hơi nóng máy,negative,,,,,,,,,
Máy dùng chán thật sự,,,negative,,,,,,,
lỗi cảm ứng liên tục tắt màn hình rồi bật lên lại dc một lúc sau lại bị wifi vô cùng kém cách xa cục phát 3-4 mét là tịt luôn,,,,,,,negative,,,
ChấT lượng sản phảm tuyệt vời,,,positive,,,,,,,
"chế độ bảo hành tốt, nhân viên phục vụ chu đáo tận tình",,,,positive,,,,,,
sài chơi game rất tốt,,,,,positive,,,,,
à ko có mật khẩu vân tay thôi,,,,,,,negative,,,
chụp hình cũng rát đẹp,,positive,,,,,,,,
cầm cũng sướng tay,,,,,,positive,,,,
sản phẩm đẹp và bắt mắt,,,,,,positive,,,,
Nhân viên tư vấn nhiệt tình,,,,positive,,,,,,
Lại được giảm giá 650k nữa,,,,,,,,positive,,
Rất hài lòng,,,positive,,,,,,,
Máy ok,,,positive,,,,,,,
thỉnh thoảng văng messages ra game mượt,,,,,neutral,,,,,
đề nghị cập nhật cảm ứng tốt hơn,,,,,,,negative,,,
Máy dùng rất tốt,,,positive,,,,,,,
cam,,positive,,,,,,,,
cấu hình đều ổn,,,,,positive,,,,,
tải game trên web thì hay bị lỗi ứng dụng tự đóng,,,,,negative,,,,,
Chụp hình đẹp,,positive,,,,,,,,
lỗi độ sáng màn hình,,,,,,,,,negative,
cảm ứng k nhạy,,,,,,,negative,,,
Tạm được,,,neutral,,,,,,,
Sản phẩm hút sóng yếu,,,,,,,negative,,,
Camara bị rò rỉ điện khi sạc thất vọng với sản phẩm này,,,,,,negative,,,,
Máy đẹp,,,,,,positive,,,,
camera chụp ảnh đẹp,,positive,,,,,,,,
vân tay siêu nhạy,,,,,,,positive,,,
mượt mà trong mọi thao tác,,,,,positive,,,,,
máy đẹp,,,,,,positive,,,,
chơi game rất mượt,,,,,positive,,,,,
nhân viên rất nhiệt tình,positive,,,,,,,,,
Mua ngay 8/3 xài tới nai tôt,,,positive,,,,,,,
Zalo FB yutout wf mạnh lam 4 g khỏi chê luôn,,,,,,,positive,,,
 còn bin xài vừa vừa tới 2 ngai,positive,,,,,,,,,
ae nên mua,,,positive,,,,,,,
loa ngoài lâu lâu nghe nhạc bì rè rè nghe khó chịu lắm,,,,,,,negative,,,
pin tụt hơi nhanh,negative,,,,,,,,,
cn lại khá ổn,,,positive,,,,,,,
Thấy ngon lành,,,positive,,,,,,,
"tư vấn nhiệt tình, cảm ơn rối rít",,,,positive,,,,,,
Cái gì cũng tốt,,,positive,,,,,,,
pin trâu,positive,,,,,,,,,
"màn hình dài,tiếc thay đt màn hình chỉ dừng bị lại ở mức HD+",,,,,,,,,neutral,
5tr5,,,,,,,,neutral,,
cấu hình,,,,,positive,,,,,
ngoại hình ko chê vào đâu được,,,,,,positive,,,,
may nóng ngày đầu thôi.qua ngày sau chơi ko thấy nóng nữa,,,,,neutral,,,,,
camera chụp rất đẹp,,positive,,,,,,,,
Nhận diện vân tay tệ .. Nhận diện khuôn mặt lúc dc lúc k,,,,,,,negative,,,
lỗi màn hình khi mở máy .. màn hình vẫn tối thui cho đến khi bấm nút nguồn 2 lần,,,,,negative,,,,,
Máy cũng ổn,,,neutral,,,,,,,
chơi game + quay vidieo cùng một lúc thì rất là đơ,,,,,negative,,,,,
Nhân viên tư vấn nhiệt tình,,,,positive,,,,,,
Máy dùng khá là ok,,,positive,,,,,,,
phù hợp với giá tiền mình bỏ ra,,,,,,,,positive,,
Máy ram1g không trách khỏi lag,,,,,negative,,,,,
cảm thấy tất cả đều ổn,,,positive,,,,,,,
vân tay của nó lại mở được máy của mình luôn ấy,,,,,,,negative,,,
"Màu sắc màn hình quá tệ, tẻ nhạt",,,,,,,,,negative,
"không thể tin nổi, nó quá tệ đúng là đồ đồng nát",,,negative,,,,,,,
Vứt rồi phí tiền,,,,,,,,negative,,
Cạch ba đời không bao giờ dùng hãng này,,,,negative,,,,,,
chơi game thì khỏi nói,,,,,positive,,,,,
xem phim trên youtube bật SD rất mờ ,,,,,,,,,negative,
Máy đẹp,,,,,,positive,,,,
 pin trâu,positive,,,,,,,,,
"còn thiếu những tiện ích thông dụng trong cuộc sống, hđh dùng hơi rắc rối khi cài đặt phần mềm ngoài chplay",,,,,negative,,,,,
Máy ảnh đep,,positive,,,,,,,,
camera nắg gắt chụp mới đẹp còn bình thườg vào phòg chụp nó cứ mờ mờ ảo ảo kì lắm quay tik tok đen thui thua oppo f9 nua,,negative,,,,,,,,
Máy ổn,,,positive,,,,,,,
Lên mạng nhanh,,,,,,,positive,,,
Game cũng ổn,,,,,positive,,,,,
Oppo lên mạng ổn hơn samsung,,,,,,,positive,,,
Vân tay nhận diện lâu quá,,,,,,,negative,,,
"Chơi game tí là nóng máy. Chán. Thua con nova 3i, chiến game chả thấy nóng gì cả",,,,,negative,,,,,
Sản phẩm tồi tệ nhất tôi từng mua..............cực kì thất vọng vói con máy nàyTệ quá xá tệ,,,negative,,,,,,,
Máy dùng quá chán,,,negative,,,,,,,
chơi game lag,,,,,negative,,,,,
camera thì cũng chỉ tàm tạm,,neutral,,,,,,,,
" Pin sạc lâu, hết pin cũng nhanh",negative,,,,,,,,,
thiết kế cũng đẹp,,,,,,positive,,,,
pin có 3200,negative,,,,,,,,,
loa nghe hơi rè rè,negative,,,,,,,,,
tất cả đều thấy ok,,,positive,,,,,,,
pin hơn 5000 mà thấy tụt nhanh hơn con oppo f9 pin thấp hơn con này trước mình dùng. Chỉ có cái thấy pin tụt hơi nhanh,negative,,,,,,,,,
còn lại đều ok hết,,,positive,,,,,,,
Thấy pin ngon,positive,,,,,,,,,
Thiết kế máy đẹp,,,,,,positive,,,,
màn to nhưng hơi tối và tái,,,,,,,,,negative,
Camera tầm Trung,,neutral,,,,,,,,
"Cảm ứng mượt, bắt wifi kém hơn các loại máy đang cùng xài",,,,,,,neutral,,,
"Đáp ứng tốt với đại đa số các ứng dụng thông thường như Facebook, Zalo, Youtube...máy chạy trên nền Android One nên rất nhẹ, nhạy và mượt mà",,,,,positive,,,,,
Vô đọc file pdf hay office trên Zalo hiện trì xem HTML xoay vòng vòng ko mở được,,,,,negative,,,,,
Vivo xài sóng 4g rất yếu,,,,,,,negative,,,
tệ đồ họa kém,,,,,,,,,negative,
giá tiền cao,,,,,,,,negative,,
thua hàng huawuay,,,,negative,,,,,,
màn hình đen chỉ hiện dòng chữ sam sung sau tầm 10 phút thì máy tự khởi động lại,,,,,negative,,,,,
Thiết kế máy đẹp,,,,,,positive,,,,
pin sử dụng thoải mái,positive,,,,,,,,,
Cấu hình CAO,,,,,positive,,,,,
hận định chung của mình là đáng đồng tiền bát gạo,,,,,,,,positive,,
Chạy như rùa bò. Youtube chạy muốn không nổi tua đi không nổi đâu,,,,,negative,,,,,
bị lỗi máy ảnh,,negative,,,,,,,,
loa hơi bé,,,,,,,negative,,,
còn lại tạm chấp nhận được,,,neutral,,,,,,,
sử dụng rất tốt,,,positive,,,,,,,
pin trâu sạc nhanh,positive,,,,,,,,,
chơi game thì quá mượt quá ok,,,,,positive,,,,,
Mặt lưng nhựa giả kính,,,,,,negative,,,,
cấu hình các thứ không thể bằng iPhone 11 hay Samsung Note 10+,,,,,negative,,,,,
mà giá lên trời,,,,,,negative,,,,
k hỗ trợ thẻ nhớ nhé,,,,,,,negative,,,
Máy pin trâu chiến game liên quân liên tục 8h hơn vẫn còn trên 10% pin,positive,,,,,,,,,
Cam chụp mờ,,negative,,,,,,,,
nhiều lúc bấm số điện thoại đơ giật ,,,,,negative,,,,,
mới lần đầu sd mà đơ đơ giật giật là không thấy hài lòng tý nào,,,,,negative,,,,,
"Lướt Fb , Zalo thì ổn",,,,,positive,,,,,
Tôi rất thích sản phẩm này,,,positive,,,,,,,
đừng rất mượt,,,,,positive,,,,,
Tốt chụp ảnh khá đẹp,,positive,,,,,,,,
không tệ cho lắm nhưng để dùng làm phụ là tốt nhất,,,neutral,,,,,,,
mua đc 3 tháng mà pin còn 96%,negative,,,,,,,,,
Sản phẩm tốt,,,positive,,,,,,,
chạy khá nhanh,,,,,positive,,,,,
Giá này thơm,,,,,,,,positive,,
Con ram Lớn exclusive thơm hơn,,,,,positive,,,,,
Cảm ứng nhạy,,,,,,,positive,,,
Ko lỗi . Chơi game hơi lag nhưng cũng có thể chơi được vào trận khá nhanh,,,,,neutral,,,,,
Loa to rõ,,,,,,,positive,,,
mua 13trieu990,,,,,,,,neutral,,
máy cấu hình mạnh,,,,,positive,,,,,
chơi game khỏe vô cùng,,,,,positive,,,,,
đt samsung luôn có độ bền cao và luôn có thương hiệu hơn.,,,,positive,,,,,,
Điện thoại xài ổn,,,positive,,,,,,,
màn hình lớn,,,,,,,,,positive,
ĐMX phục vụ ok,,,,positive,,,,,,
 hệ điều hành mượt mà,,,,,positive,,,,,
chụp ảnh sắc nét,,positive,,,,,,,,
Giá hạt dẻ,,,,,,,,positive,,
nhận được nhiều tiện ích,,,,,,,positive,,,
Điện thoại sẽ càng ít hao pin hơn nếu bạn bật chế độ hao pin thấp,positive,,,,,,,,,
trâu bò nhất ở phân khúc 3tr,,,positive,,,,,,,
Loa to,,,,,,,positive,,,
phim ảnh facebook trải nghiệm - đa nhiệm tốt lắm,,,,,positive,,,,,
May dùng khá tốt,,,positive,,,,,,,
có hiện tượng lưu bóng của ứng dụng trước,,,,,negative,,,,,
quá tuyệt vời,,,positive,,,,,,,
loa to thiệt sự,,,,,,,positive,,,
Máy sài ok,,,positive,,,,,,,
game các thứ đều mượt,,,,,positive,,,,,
nghe nhạc to rõ không có gì để chê,,,,,,,positive,,,
có điều ko sài tự dựt bjn,negative,,,,,,,,,
Tất cả đều ok,,,positive,,,,,,,
"cột sóng. Dùng mạng không ổn định hay bị tụt mạng và mất mạng 3g,4g",,,,,,,negative,,,
pin cũng ko trâu j mấy,negative,,,,,,,,,
Sp rẻ,,,,,,,,positive,,
chơi game lqmb mượt,,,,,positive,,,,,
mang hình cực nét,,,,,,,,,positive,
pin tâm ơn,neutral,,,,,,,,,
hỏi tệ ở phần lóa ngoài,,,,,,,negative,,,
thấy mọi thứ đều ok,,,positive,,,,,,,
vào wed hay đứng tầm 10s,,,,,negative,,,,,
sp ổn k vấn đề gì trong tầm giá,,,positive,,,,,,,
