index,ItemID,ShopID,Name,Quantity,ReviewCount,Price,StarRating,PlatformID,ProductID,CrawlDate,Storage
0,20385572085,S.Zone Authorised Store,Điện Thoại Samsung Galaxy S23 Ultra 5G - Hàng Chính Hãng,2,0,1999000000000,0.0,PL03,P002,2024-03-30,256GB
8,20390644655,SHOPSAMSUNG.VN LINHPHUKIEN.VN,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Hàng chính hãng mới 100% New Seal,122,37,2059000000000,5.0,PL03,P002,2024-03-30,256GB
10,22074275560,Mini Shop Official,Điện thoại Samsung Galaxy S23 Ultra 5G 256GB,10,5,2499000000000,5.0,PL03,P002,2024-03-30,256GB
15,18291182009,TCMOBEO,Điện thoại Samsung Galaxy S23 5G Ultra - Hàng Chính hãng,105,48,2189000000000,5.0,PL03,P002,2024-03-30,256GB
20,23481654966,Điện Thoại Giá Kho Official,"Điện thoại Samsung Galaxy S23 Ultra (256GB/512GB) - Hàng Chính Hãng, Bảo Hành 12 Tháng",3,2,2164900000000,5.0,PL03,P002,2024-03-30,256GB
21,23917766596,SAMSUNG OFFICIAL STORE,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB),127,25,3199000000000,4.68,PL03,P002,2024-03-30,256GB
24,22847766940,Hnam Mobile,Điện thoại Samsung Galaxy S23 Ultra 5G S918 256GB Ram 8GB Chính Hãng - 25211,2,1,2429000000000,5.0,PL03,P002,2024-03-30,256GB
30,24258723406,DMobile-HCM,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Chính hãng,1,1,2199000000000,5.0,PL03,P002,2024-03-30,256GB
31,18176444637,TechGearVN,Điện thoại Samsung Galaxy S23 Ultra Exclusixe,66,21,2099000000000,4.857142857142857,PL03,P002,2024-03-30,256GB
36,24508410132,IIlumidzShop,Samsung Galaxy S23 Ultra 5G,8,6,2499000000000,5.0,PL03,P002,2024-03-30,256GB
38,23225322956,Phú Mobile TN,Điện Thoại Samsung Galaxy S23 Ultra ( Phú Mobile ),19,10,1999000000000,5.0,PL03,P002,2024-03-30,256GB
40,25100485240,TB Mobile,Samsung Galaxy S23 Ultra 8GB/256GB - Chính hãng - TB Mobile,18,18,2050000000000,5.0,PL03,P002,2024-03-30,256GB
42,20593143003,DiDongStore.com,Điện thoại Samsung Galaxy S23 Ultra 5G 2sim Mới 100% | Nguyên Seal Fullbox Quốc tế chính hãng ( Snapdragon 8 Gen 2),7,5,2299000000000,4.4,PL03,P002,2024-03-30,256GB
44,21294868608,GalaxyShopVN,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB) - Hàng chính hãng,4,1,1989000000000,5.0,PL03,P002,2024-03-30,256GB
47,24603675737,FUN OFFICIAL.,[Điện thoại] Samsung Galaxy S23 Ultra 12GB/512GB - Hàng chính hãng New Seal,6,4,2649000000000,5.0,PL03,P002,2024-03-30,512GB
48,19395750308,297083882,điện thoại Samsung Galaxy S23 Ultra 256GB,23,22,2199000000000,5.0,PL03,P002,2024-03-30,256GB
50,21089980178,Hnam Mobile,Điện thoại Samsung Galaxy S23 Ultra 5G 512GB Ram 12GB Chính Hãng - 25212,1,0,2699000000000,0.0,PL03,P002,2024-03-30,512GB
52,20286975677,645232269,Điện thoại Samsung Galaxy S23 Ultra 5G 256GB,3,1,2995000000000,5.0,PL03,P002,2024-03-30,256GB
55,23382484634,Đại Phát shop,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB),23,13,2399000000000,5.0,PL03,P002,2024-03-30,256GB
70,21485162489,603809751,Điện thoại di động Samsung Galaxy S23 Ultra 8GB/256GB,2,2,3199000000000,5.0,PL03,P002,2024-03-30,256GB
71,20684003546,CuBeoShop,"Điện thoại Samsung Galaxy S23 Ultra - Hàng Chính Hãng, Mới 100%, Nguyên seal",1,1,2599900000000,5.0,PL03,P002,2024-03-30,256GB
