,index,ItemID,ShopID,Name,Quantity,ReviewCount,Price,StarRating,PlatformID,ProductID,CrawlDate
0,0,20493037179,88201679,Điện thoại Apple iPhone 15 Pro Max 256GB,17844,3501,3149000000000,4.9542972118424835,PL03,P001,2024-03-14 23:03:32.447697
1,1,21993222972,288286284,Điện thoại Apple iPhone 15 Pro Max 256GB,2366,455,3188000000000,4.98021978021978,PL03,P001,2024-03-14 23:03:32.447697
2,2,23354704062,308461157,Apple iPhone 15 Pro Max 256GB Chính hãng VN/A,5817,1116,3209000000000,4.962365591397849,PL03,P001,2024-03-14 23:03:32.447697
3,3,25609861776,487028617,Điện thoại  iPhone 15 Pro Max 256GB - Hàng Chính Hãng,136,28,3273000000000,4.857142857142857,PL03,P001,2024-03-14 23:03:32.447697
4,4,22680632785,288286284,Apple iPhone 15 Pro Max 512GB,135,29,3949000000000,5.0,PL03,P001,2024-03-14 23:03:32.447697
5,5,24109867358,487028617,Điện thoại  iPhone 15 Pro Max 512GB - Hàng Chính Hãng,3,0,4130000000000,0.0,PL03,P001,2024-03-14 23:03:32.447697
6,6,23283124480,92532150,[Trả góp 0%]  iPhone 15 Promax 256GB - Hàng Chính Hãng [Futureworld- APR],21,5,3639000000000,5.0,PL03,P001,2024-03-14 23:03:32.447697
7,8,23262276237,65589552,[Nhập ELSS15B2 Giảm 10%] Bộ sưu tập giới hạn: Điện thoại Samsung S23 Ultra 8GB/256GB + Phụ Kiện Samsung Cao Cấp,417,125,2649000000000,4.824,PL03,P002,2024-03-14 23:03:32.470407
8,12,22488687900,507755150,[SAMSUNG Galaxy S23 Ultra] - Điện Thoại Samsung Galaxy S23 Ultra  New Seal - TechWatchVN,53,13,2449000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
9,13,18291182009,1039322456,Điện thoại Samsung Galaxy S23 5G Ultra - Hàng Chính hãng,103,48,2289000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
10,14,23382484634,182298008,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB),22,12,2399000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
11,15,20593143003,42787830,Điện thoại Samsung Galaxy S23 Ultra 5G 2sim Mới 100% | Nguyên Seal Fullbox Quốc tế chính hãng ( Snapdragon 8 Gen 2),6,5,1879000000000,4.4,PL03,P002,2024-03-14 23:03:32.470407
12,16,20390644655,48406301,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Hàng chính hãng mới 100% New Seal,105,31,2149000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
13,17,24603675737,45958676,[Điện thoại] Samsung Galaxy S23 Ultra 12GB/512GB - Hàng chính hãng New Seal,3,2,2649000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
14,18,17197718277,1013588070,Điện Thoại Samsung Galaxy S23 Ultra - Hàng Chính Hãng,1288,511,2199000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
15,19,24508410132,1107128132,Samsung Galaxy S23 Ultra 5G,7,5,2499000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
16,20,24258723406,1165274448,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Chính hãng,1,1,2199000000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
17,21,23481654966,424715,"Điện thoại Samsung Galaxy S23 Ultra (256GB/512GB) - Hàng Chính Hãng, Bảo Hành 12 Tháng",3,2,2164900000000,5.0,PL03,P002,2024-03-14 23:03:32.470407
