index,ItemID,ShopID,Name,Quantity,ReviewCount,Price,StarRating,PlatformID,ProductID,CrawlDate,Storage
1,23262276237,SAMSUNG OFFICIAL STORE,[Nhập ELSS15B2 Giảm 10%] Bộ sưu tập giới hạn: Điện thoại Samsung S23 Ultra 8GB/256GB + Phụ Kiện Samsung Cao Cấp,450,136,2.369E+12,4.808823529,PL03,P002,2024-04-07 00:00:00,256GB
5,21294868608,GalaxyShopVN,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB) - Hàng chính hãng,32,15,1.989E+12,4.866666667,PL03,P002,2024-04-07 00:00:00,256GB
6,22074275560,Mini Shop Official,Điện thoại Samsung Galaxy S23 Ultra 5G 256GB,10,5,2.299E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
9,18291182009,TCMOBEO,Điện thoại Samsung Galaxy S23 5G Ultra - Hàng Chính hãng,109,50,2.159E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
10,18176444637,TechGearVN,Điện thoại Samsung Galaxy S23 Ultra Exclusixe,66,21,2.099E+12,4.857142857,PL03,P002,2024-04-07 00:00:00,256GB
13,25821623270,didongso1.com,Điện thoại Samsung S23 Ultra Mỹ 2 sim Fullbox 256/512/1T Snapdragon 8 Gen 2 - didongso1,5,0,1.749E+12,0,PL03,P002,2024-04-07 00:00:00,256GB
16,23382484634,Đại Phát shop,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB),28,16,2.399E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
19,23917766596,SAMSUNG OFFICIAL STORE,Điện Thoại Samsung Galaxy S23 Ultra (8GB/256GB),127,25,3.199E+12,4.68,PL03,P002,2024-04-07 00:00:00,256GB
20,23481654966,Điện Thoại Giá Kho Official,"Điện thoại Samsung Galaxy S23 Ultra (256GB/512GB) - Hàng Chính Hãng, Bảo Hành 12 Tháng",3,2,2.1649E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
23,24258723406,DMobile-HCM,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Chính hãng,2,1,2.199E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
26,24603675737,FUN OFFICIAL.,[Điện thoại] Samsung Galaxy S23 Ultra 12GB/512GB - Hàng chính hãng New Seal,6,4,2.649E+12,5,PL03,P002,2024-04-07 00:00:00,512GB
32,20593143003,DiDongStore.com,Điện thoại Samsung Galaxy S23 Ultra 5G 2sim Mới 100% | Nguyên Seal Fullbox Quốc tế chính hãng ( Snapdragon 8 Gen 2),8,5,1.959E+12,4.4,PL03,P002,2024-04-07 00:00:00,256GB
35,23225322956,Phú Mobile TN,Điện Thoại Samsung Galaxy S23 Ultra ( Phú Mobile ),19,10,1.999E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
39,22847766940,Hnam Mobile,Điện thoại Samsung Galaxy S23 Ultra 5G S918 256GB Ram 8GB Chính Hãng - 25211,2,1,3.199E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
49,24508410132,IIlumidzShop,Samsung Galaxy S23 Ultra 5G,8,6,2.499E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
55,20390644655,SHOPSAMSUNG.VN LINHPHUKIEN.VN,Điện thoại Samsung Galaxy S23 Ultra 8GB/256GB - Hàng chính hãng mới 100% New Seal,145,41,1.999E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
67,20684003546,CuBeoShop,"Điện thoại Samsung Galaxy S23 Ultra - Hàng Chính Hãng, Mới 100%, Nguyên seal",1,1,2.5999E+12,5,PL03,P002,2024-04-07 00:00:00,256GB
88,21089980178,Hnam Mobile,Điện thoại Samsung Galaxy S23 Ultra 5G 512GB Ram 12GB Chính Hãng - 25212,1,0,3.699E+12,0,PL03,P002,2024-04-07 00:00:00,512GB
