Link,Date,Comment
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"K lẽ sâm lại đập vào mặt những seeder “tâm huyết” đã từng chống cả thế giới để nâng bi màn phẳng sao, thật nhẫn tâm😃 vậy là chân lý phẳng của táo luôn đúng rồi😃"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,iphan bị Cúc gay nó vả thẳng mặt cái màn cùi bắp lcd 4 inch tức quá lôi Sam vào à
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Tôi nói chuyện bây h, đừng lôi cái cũ ra lấp liếm, thế nếu cần quá khứ thì chắc vụ nổ 7 vẫn như in nhỉ, ghi vào sử sách luôn rồi😃

Cay cú ah, lý do j nhỉ, ai nâng bi cho màn cong, chê màn phẳng của ip thậm tệ để rồi về lại vs phẳng, dân gian gọi là “nhổ rồi liếm” đấy😃"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Gớm có cái màn hình mà nói nhiều vl. Chê lấy KPI hay sao
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"nữa, gì cũng lôi vụ nổ đó hoài, ifan nào cũng lôi ra. Phá vỡ thế độc quyền của apple đi ông, bỏ iphone nào"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Nếu nổ của 7 dc ghi vào sử thì chắc mất sóng do k biết cách cầm của 4-5 và dễ bẻ như 6 cũng trong sách đó luôn rồi 😆😆😆

Nói vui là vậy, chứ thời nào rồi mà còn tào lao như thế. Mỗi thằng đều ngon riêng, xài cả 2 cho nét. Hơi đâu mà fan quạt làm gì"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Cùi bắp nhưng doanh số gấp chục lần đám roi ghẻ là vui rồi
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Cái thằng trên tào lao kìa. Nó nhắc đến cái màn 4”, h thời nào rồi còn xài màn 4”😃"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Ủa k phải chỉ có sâm ghi dấu lịch sử bằng vụ đó ah. Thế thời nào rồi mà seeder còn lôi cái màn 4” ra nói hoài đấy thôi😃 seeder nói auto đúng, phản pháo lại thì bảo “nói hoài”. Đúng là cãi mõm k xương là có thật😃"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Thế lúc sâm ra màn cong thì cả bọn nâng bi tận lực, bảo ip k làm nổi màn cong, h sâm bỏ rồi thì seeder bảo “nói nhiều”, lúc mình nói thì k sao, nhưng ng khác thì k dc, đâu ra quyền ưu tiên đó nhỉ😃"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"cái quan trỌng là thằng táo nó ko đi khịa ngu.
mẹ. xưa thì khịa ip ko tháo pin đc, ko có thẻ nhớ... rồi học theo
vài năm trở lại thì đi khịa ngu cái tai thỏ xong mình cũng làm hình viên thuốc. khịa cái jack 3.5 xong cũng học theo. rồi nào là bỏ cục sạc...
đấy mới là cái đáng nói."
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Chính xác. Đi khịa hãng khác rồi lại học theo y hệt như vậy không khác gì tự ỉa rồi tự ăn 😁
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Nghĩ cũng hài, mai phen không còn việc gì khác à mà thấy suốt ngày lên TT rồi đi cà khịa này nọ vậy để rồi căng não đi chửi nhau vs 1 đống fan 😃)). Không mệt à phen"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Ss luôn vậy mà. Mồm chê táo, tay làm theo táo"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Ko, vì những đứa nói điêu nói láo cần hiểu là nó nói dc thì ng khác cũng có quyền, rất đơn giản😃"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"chuyện xưa xíu, thời trước ip 4, 5 màn phẳng thì androd trong đó có sam sung nó cong 2,5d gì gì đấy có thấy ai nói gì đâu, rồi sau đó ip lại chuyển qua cong như bọn android cũng thấy ai nói gì đâu."
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Ban chi duoc cai noi.....dung.....
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Ip nào cong huh bạn, cái màn 2.5d của ip thời trc là kính cong. Còn tấm nền cong thì chưa hề. Tấm nền cong chỉ là chiêu trò pr mà sâm nghĩ ra để làm ra chiếc galaxy round đầu tiên, sau đó đưa vào edge để phô diễn khả năng uốn cong tấm nền.

Thực tế màn cong gây hiệu ứng thị giác là 9, còn lại là bất tiện trong sử dụng: chạm cảm ứng, phản chiếu cạnh bên dưới ánh sáng mạnh gây loá, khó dán cường lực, dễ vỡ hay xước, chi phí thay thế cao."
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Thôi ông tắt văn mẹ đi, tấm nền cong hay kính cong nó gây khó chịu như nhau vì nó ảnh hưởng lúc cầm. Khác gì nhau mà bày đặt bào chữa. Thẳng thắn mà nói, cong nó khó chịu 10 thì viền mỏng dù màn phẳng nó cũng khó chịu 8 rồi. Giờ thẳng hay cong nó méo quan trọng bằng việc xử lý lúc cầm không bị chạm màn hình thôi. Còn thằng  nào đi trước thằng nào nhái theo, thằng đi trước bỏ rồi thằng nhái theo bắt đầu nhảy vô cũng bênh cho được."
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"đó là do ifan nói chứ ai, ông ko thấy ông nói trước à. Rõ ràng là ông cãi mõm trước"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Kể cũng vui lên TT lúc nào cũng có cái để xem. Fan chi trời mình thích cái nào xài cái đó thôi. Nó ra ngon thì mua xài xài 2 cái cũng ok. Thấy mấy bạn fan cuồng mà phát mệt luôn. Rãnh ghê luôn.
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Trăng Thở cãi nghe chán lắm. Nhiều chữ mà nd chán. 😆
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Thích tính tế chỗ nhiều mem cuồng sống chết với nhà cái. Nói kiểu gì cũng có war
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,bố thằng điên
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Có làm phẳng thì cũng đ đến lượt apple nhà mày lên tiếng. Đt nó màn phẳng từ thời thím cúc nhà mày còn đang ỉa đùn.
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Mac nổ chắc lịch sử ghi sót quá
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Thì rõ ràng. Apple có làm đc màn cong lẫn màn phẳng đ đâu mà chả  ko làm đc. Nói sai à ?
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"dòng m của ss năm nay có con nào dùng màn e4-60hz không vậy bác,để em xúc 1 con thay cái máy cũ"
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Ss trả bao nhiêu 1 tháng vậy. Ko núp bớt đi lòi mặt ra chi cho thiên hạ chửi
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,Ss fan chỉ nhiêu đó thôi. Hèn gì sản phẩm của sam ko bao gioè là số 1
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,nói với loại chúng mày chi cho phí lời. số 1 hay sô 2 cũng ko đến lượt nhà mày ý kiến
https://tinhte.vn/thread/samsung-galaxy-s24-ultra-se-co-man-hinh-phang-va-thiet-ke-rat-vuong.3709913/,5 tháng,"Cay lắm rồi đúng không, Internet nó chỉ là hư cấu thôi mà. Thoát ra ngoài và bình tĩnh lại nhé"
