,Id,Comment,Comment time,Reply
0,d0E4-cqN0gw,ok,2023-06-02T14:14:09Z,
1,d0E4-cqN0gw,Đoạn cuối kiểu:,2023-05-20T01:55:21Z,
2,d0E4-cqN0gw,hảo nhạc,2023-03-17T05:19:35Z,
3,d0E4-cqN0gw,dùng samsung điii,2023-03-15T08:18:46Z,
4,d0E4-cqN0gw,1:16 ông ông gì nhiều thế anh:)),2023-03-11T11:36:16Z,
5,d0E4-cqN0gw,I love you ❤ Samsung ❤,2023-03-06T10:45:33Z,
6,d0E4-cqN0gw,"Hãy nhớ, chụp ảnh là 1 nghệ thuật, không phải để khôi phục lại sự thật!",2023-02-20T16:52:38Z,
7,d0E4-cqN0gw,Từng làm cn sản xuất khay xim với cụm viền camera hôm nay mới biết nó là 1 phần của s23,2023-02-07T18:04:52Z,
8,d0E4-cqN0gw,Anh Duy cẩn thận bị trừ lương,2023-02-07T10:22:25Z,
9,d0E4-cqN0gw,So sánh Samsung galaxy S23 Ultra &  Samsung galaxy S22 Ultra đi anh,2023-02-07T04:43:08Z,
10,d0E4-cqN0gw,Chuẩn bị ra iphone 15 thế nên anh huy bảo dùng samsung đi để đỡ phải nhịn,2023-02-05T09:23:52Z,Ờ thì S24 vào đầu năm Giáp Thìn 2024 thì... =))))
11,d0E4-cqN0gw,Sếp Huy đợi ngày này lâu roài((:,2023-02-04T13:08:49Z,
12,d0E4-cqN0gw,"Sếp Huy:
Thời tới thời tới
DÙNG SAMSUNG ĐÊ oạc",2023-02-03T10:43:12Z,
13,d0E4-cqN0gw,Chắc clip này quay bằng iphone =))),2023-02-03T08:32:11Z,
14,d0E4-cqN0gw,"Anh rất tốt anh Huy à, nhưng mà em xin lỗi🤧 em thít iPhone",2023-02-03T06:49:53Z,
15,d0E4-cqN0gw,"Huy vs Triều có họ hàng gì vs nhau ko nhể, nhìu khi nhìn na ná nhau lắm cơ =)))",2023-02-03T06:43:39Z,"có họ, họ bắn đại bác 70 năm chưa tới nhé bro"
16,d0E4-cqN0gw,Huy NL mang áo mixer  hả ???,2023-02-03T06:07:21Z,
17,d0E4-cqN0gw,Có sản phẩm mới từ samsung là xác định vs schanel :))),2023-02-03T05:11:34Z,
18,d0E4-cqN0gw,"samsung đỉnh thật, có hẳn 1 diễn viên hài đẳng's cấp HuyNL =))",2023-02-03T05:04:39Z,
19,d0E4-cqN0gw,Giống cái sạc dự phòng Xiaomi của tui quá nhưng mà đẹp!!!!!!!,2023-02-03T02:51:52Z,
20,d0E4-cqN0gw,Khi iPhone 14 ra sếp Huy nhịn 😂...Giờ S23 ra xếp Huy đã đến lúc bùng dậy khia các ae trong Cty 😂,2023-02-02T18:19:01Z,Và khi S24 vào đầu năm sau thì lại Y CHANG =)))))
21,d0E4-cqN0gw,Gặp Iphone tắt điện,2023-02-02T17:15:30Z,"Lol có snap 8 g2 chưa đỡ tắt đèn chưa hết hút máu chưa , còn cái chảo táo ko ei"
22,d0E4-cqN0gw,Sếp uy tín,2023-02-02T15:18:25Z,
23,d0E4-cqN0gw,Bộ đôi :)),2023-02-02T15:14:17Z,
24,d0E4-cqN0gw,=)),2023-02-02T14:52:02Z,
25,d0E4-cqN0gw,Sếp Huy vui lắm :))))))),2023-02-02T14:41:59Z,
26,d0E4-cqN0gw,"Câu chuyện muôn thuở mỗi khi samsung ra sản phẩm mới: sếp Huy và ""dùng samsung đi""",2023-02-02T14:33:19Z,"Ổng dùng samsung quen rùi, công nghệ quá! Nên phải bên cạnh em này😂😂😂 như mình samfan nè"
27,d0E4-cqN0gw,Sếp huy đợi ngày này lâu lắm rồi 😂,2023-02-02T14:33:00Z,
28,d0E4-cqN0gw,S23 nhìn tàu tàu =)),2023-02-02T14:31:42Z,Hơn iPhone
29,d0E4-cqN0gw,sếp Huy mãi đỉnh:),2023-02-02T14:26:58Z,
30,d0E4-cqN0gw,2 năm nữa nếu tầm 12 13tr thì mua,2023-02-02T14:07:23Z,chắc lúc đó ra S24-25 luôn r ấy chứ:))
31,d0E4-cqN0gw,S23 seri năm nay mua sứng đáng vl ra,2023-02-02T13:59:38Z,Quá sứng đáng
32,d0E4-cqN0gw,Team iPhone,2023-02-02T13:58:18Z,
33,d0E4-cqN0gw,Bao tiền anh,2023-02-02T13:54:06Z,30 củ
34,d0E4-cqN0gw,Em đang dùng samphone,2023-02-02T13:51:14Z,
35,d0E4-cqN0gw,poor chiếc giày 🤣,2023-02-02T13:45:32Z,
36,d0E4-cqN0gw,Cup và tora đâu anh,2023-02-02T13:38:25Z,
37,d0E4-cqN0gw,Khoc that a?,2023-02-02T13:34:23Z,
38,d0E4-cqN0gw,Nhìn a Huy nhảy tưng tưng,2023-02-02T13:33:14Z,
39,d0E4-cqN0gw,review nhanh nhưng không quên tấu hài =)),2023-02-02T13:30:25Z,
40,d0E4-cqN0gw,Tim 51,2023-02-02T13:21:52Z,
41,d0E4-cqN0gw,Bình luận đầu nè anh Duy êi ! Mà S23 Ultra ra đẹp quá !!!,2023-02-02T13:20:01Z,"Hảo đầu=))<>:))<>@@minh_le66 chưa chắc đã đầu đâu!! thì cũng là đầu, vì nó là đầu nên khi ra vid lúc đầu thì BL đầu and like đầu, nói chung cx ko phải dài dòng chi cho mệt, chủ yếu là chỉ muốn giải thích và zậy hoi, cũng ko muốn bình luận dài dòng quá lèm j, nói z thì CŨNG BL đầu nhưng like ko phải là đầu:))))"
42,d0E4-cqN0gw,Chào anh nha,2023-02-02T13:19:49Z,
43,d0E4-cqN0gw,Anh đang chơi genshin nó gửi thông báo vô lun:((,2023-02-02T13:19:10Z,
44,d0E4-cqN0gw,Like Đầu. Bình Luận Đầu!,2023-02-02T13:19:02Z,
45,d0E4-cqN0gw,Hello anh duy,2023-02-02T13:18:56Z,
46,l1jDNLBOPrY,"Cực kì phấn khởi 🎉🎉🎉🎉
► Lên đời S23 Ultra - Chỉ bù hơn 3 triệu đồng: https://cellphones.com.vn/samsung-galaxy-s23-ultra.html?utm_source=pr&utm_medium=DuyTham&utm_campaign=samsung-galaxy-s23-ultra.html_15022023",2023-02-18T03:56:46Z,anh có ổn ko (ಠ ͜ʖಠ)<>Are you ok =))
47,l1jDNLBOPrY,Samsung tuổi buồi so với Oppo và Xiaomi,2023-09-19T12:47:02Z,
48,l1jDNLBOPrY,😂😂😂😂,2023-09-09T14:24:25Z,
49,l1jDNLBOPrY,CAPTIN SÁMUNG CÓ KHÁC,2023-09-05T13:44:02Z,
50,l1jDNLBOPrY,toi nghiep schanel da dao sep huy nl,2023-07-03T04:02:35Z,
51,l1jDNLBOPrY,Là  ông  huy NL ép buộc phải làm,2023-06-05T02:44:21Z,
52,l1jDNLBOPrY,Ss mãi đỉnh.... Sếp huy đỉnh đỉnh kk❤❤❤❤❤❤,2023-05-08T12:36:31Z,
53,l1jDNLBOPrY,Dống đang chào cờ nhỉ kkkkk mà sao mặt của ai cũng mất hồn zi,2023-05-06T04:22:34Z,
54,l1jDNLBOPrY,:)))) nhạc buồn thế,2023-04-18T01:10:09Z,
55,l1jDNLBOPrY,Nhìn đẹp thật mà mấy ae buồn nhỉ 😂😂😂,2023-03-22T16:34:23Z,
56,l1jDNLBOPrY,Chán thế nhìn con ss ngon v mà  cke 😂😂😂,2023-03-22T13:13:44Z,
57,l1jDNLBOPrY,sương thế rồi còn j🤣,2023-03-21T04:15:02Z,
58,l1jDNLBOPrY,Giống như có sự ép buộc nhể😂😂,2023-03-13T14:36:57Z,
59,l1jDNLBOPrY,em là fan samsung nè sếp Huy ơi,2023-03-11T05:55:33Z,
60,l1jDNLBOPrY,Thich huy ghet duy thẩm vl bỉ theo doi,2023-03-07T03:51:15Z,
61,l1jDNLBOPrY,Anh review rolls-royce đi ak,2023-03-06T05:34:11Z,
62,l1jDNLBOPrY,"Anh Duy mà review được cái này em tạo 100 tài khoản và kêu cả lớp đăng ký cho anh
Bật lửa: Silver and Jadeite Ashtray and Lighter",2023-03-05T15:35:24Z,
63,l1jDNLBOPrY,Không biết làm cách nào mà duy thẩm và mấy anh chị schannel mua samsung trong khi mấy hôm trước còn không sợ sếp huy đuổi,2023-03-05T04:35:02Z,
64,l1jDNLBOPrY,Anh em mua galaxy trông vui thế :)))))),2023-03-05T01:28:46Z,
65,l1jDNLBOPrY,Anh Duy thẩm đi thì Vua Tiếng Việt:)))),2023-03-03T13:57:48Z,
66,l1jDNLBOPrY,A review laptop 20 triệu đổ xuống đi,2023-03-02T00:56:44Z,
67,l1jDNLBOPrY,anh ơi vơ anh Làm việc gì,2023-03-01T12:50:47Z,
68,l1jDNLBOPrY,Anh ơi vợ em làm việc gì,2023-03-01T12:47:42Z,
69,l1jDNLBOPrY,Samsung mãi đỉnh,2023-03-01T12:13:32Z,
70,l1jDNLBOPrY,Anh đập hộp  sản phẩm 10 năm của apple đi cái này chỉ có nhân viên apple có thôi đố anh có nó,2023-03-01T06:21:38Z,
71,l1jDNLBOPrY,Sao zạo này ko ra video nữa zậy anh 😮,2023-02-28T11:36:28Z,
72,l1jDNLBOPrY,Cho em lên tv ik,2023-02-27T15:23:17Z,
73,l1jDNLBOPrY,Thách anh mua 20 con rubik gan 13 maglev,2023-02-27T15:22:54Z,Fan I GAN maglev đây r tìm đồng chí mãi 🤣
74,l1jDNLBOPrY,Cho em hỏi nên mua iPhone 15 Pro Max hay là Xiaomi 13 Ultra để chơi game và làm video stream game ạ. Nên chọn A17 hay Snap 8 gen 3. Nếu mua iPhone 15 Pro Max rồi khi ra mắt iPhone 16 Ultra thì có thu cũ đổi mới từ iPhone 15 Pro Max không ạ hay sẽ lỗ nặng?,2023-02-26T01:33:05Z,Tương lại sẽ biết nhá<>Iphone nó ko có chương trình thu cũ đổi mới đâu.
75,l1jDNLBOPrY,Thách anh mua 20 con rubik gan 13 maglev 😁,2023-02-25T07:49:46Z,
76,l1jDNLBOPrY,1 người sướng trăm người khổ😂😂,2023-02-25T04:11:20Z,
77,l1jDNLBOPrY,"Sếp Huy ngầu quá =) 
Thế anh Duy thẩm bỏ luôn Iphone r à =)",2023-02-24T13:47:50Z,
78,l1jDNLBOPrY,"Anh ơi, cup với tora đâu rồi, lâu lắm không thấy anh làm",2023-02-24T13:03:54Z,
79,l1jDNLBOPrY,anh duy tham mai ch,2023-02-24T01:45:51Z,
80,l1jDNLBOPrY,haha,2023-02-23T18:07:28Z,
81,l1jDNLBOPrY,ủa là hân hoan dữ chưa????,2023-02-23T14:05:15Z,
82,l1jDNLBOPrY,Cx là tự nguyện nma nó lạ lắm 😂😂,2023-02-22T13:21:10Z,
