,Id,Comment,Comment time,Reply
0,oonk6n0vMNo,"Vẫn nghèo nàn :))) 21 củ 15,25 củ 15+ giá nghe k giòn lắm để 2 năm sau đi r t mua",2023-12-03T17:17:18Z,
1,oonk6n0vMNo,Mới coi bên iJustine quay thấy Duy . 🤣,2023-09-29T08:07:25Z,
2,oonk6n0vMNo,34,2023-09-27T14:19:33Z,
3,oonk6n0vMNo,cho em 1 cái với ạ anh DUY THẨM đẹp zai,2023-09-23T14:23:07Z,
4,oonk6n0vMNo,Trông cái màu nhìn cứ nhờ nhờ khó chịu ghê =))),2023-09-20T04:42:25Z,
5,oonk6n0vMNo,Ip15 năm nay quá trời xịn❤,2023-09-20T03:11:00Z,
6,oonk6n0vMNo,"Anh ơi, iphone 15 mới ra và mrbeast đã cho mn biết là đt để quay cho kênh là samsung galaxy ultra",2023-09-18T13:31:58Z,
7,oonk6n0vMNo,Đen tối thế anh🤔,2023-09-18T05:34:53Z,
8,oonk6n0vMNo,Lúc nào mới ra iPad mini mới vậy ah Duy:(,2023-09-18T05:22:42Z,
9,oonk6n0vMNo,Mặt lưng giống pro nhỉ??? Hay vẫn là kính vậy ạ?,2023-09-18T01:20:13Z,
10,oonk6n0vMNo,Trầm ko có tiền:🌚,2023-09-17T19:54:47Z,
11,oonk6n0vMNo,Viền ip 14 prm lỗi. K biết viền ip15 sẻ ntn 😅.,2023-09-17T04:59:16Z,
12,oonk6n0vMNo,Mặt sau thì không khác gì năm ngoái và năm kia chẳng qua theo kịp dòng Pro với Android thôi nhìn cũng xịn cũng thích cũng muốn mua nhưng mik vẫn lựa chọn Z Flip =))),2023-09-17T01:47:39Z,
13,oonk6n0vMNo,Đẹp quá giá như dượcDuy Thẩm thải lại con Duy đang dùng cho mình thì tuyệt vời gớt mước mắt luôngggg😅😅,2023-09-16T15:25:32Z,
14,oonk6n0vMNo,Nhìn bình thường,2023-09-16T14:56:30Z,
15,oonk6n0vMNo,3.0 rồi,2023-09-16T05:45:53Z,
16,oonk6n0vMNo,ko có hải triều đi cùng anh hả 😂😂😂,2023-09-16T02:46:38Z,
17,oonk6n0vMNo,Duy luân dễ thương cũng xem kênh,2023-09-15T13:09:58Z,
18,oonk6n0vMNo,Anh giấu nghề hả,2023-09-15T08:42:08Z,
19,oonk6n0vMNo,Sau anh còn mua nhiều máy iphone 15 nữa hay cho em một cái đi em gửi địa chỉ cho 😂😂🎉🎉😂😂😅,2023-09-15T08:04:44Z,
20,oonk6n0vMNo,Bị bồ kết em 15 pluss,2023-09-15T06:07:34Z,Đr nhìn k bị ô dề như 3 mắt nha (ykr) t cũng mê 15pl :))
21,oonk6n0vMNo,Con plus có vỏ titan ko,2023-09-14T23:59:21Z,Nhôm
22,oonk6n0vMNo,2 mắt nhìn cùi vãi,2023-09-14T12:59:06Z,K giàu mà thích lm sang :)) muốn thì độ 3 mắt
23,oonk6n0vMNo,nhìn màu cute thực sự,2023-09-14T10:26:28Z,
24,oonk6n0vMNo,hay,2023-09-14T09:42:16Z,
25,oonk6n0vMNo,"Tao sẽ mua màu hồng mạnh mẽ , đẹp cực😂",2023-09-14T09:30:21Z,
26,oonk6n0vMNo,ông thử cầm máy bật camera rồi chạy ra ngoài  xem nó chống rung ntn,2023-09-14T09:11:14Z,
27,oonk6n0vMNo,"Mặt lưng kiểu này Sony đã làm rất tốt từ thời z5 rồi, có đb gì mà xum xoe lên vậy 😏",2023-09-14T07:50:16Z,
28,oonk6n0vMNo,15 plus không có màu đỏ hả e?,2023-09-14T02:49:42Z,K có a ạ
29,oonk6n0vMNo,"Biết đẹp rồi nhưng giới trẻ VN đang hoang phí, những người cầm iPhone và chạy theo nó là những người nghèo trong tương lai. Dt nào dùng tác dụng cơ bản đc rồi. Ví dụ mua máy 30tr thì ta mua 5 tr thôi 25tr kia gửi tiết kiệm 5 năm bạn sẽ thấy tổng lãi lên con số khủng? Ngố cầm iPhone hết ngố sao?",2023-09-14T00:29:31Z,
30,oonk6n0vMNo,Ngon thật nhưng đang dùng 13prm 120hz quen vẫn ko muốn đổi sang dùng 60hz😢,2023-09-13T23:58:40Z,con 13 của bác vẫn ổn à<>@@nhutle6593xui thì bị 😂
31,oonk6n0vMNo,Năm nay thấy iphone 15 ok nhám nhám vậy ko bị tụt. Chị mình chưa co nâng cấp từ iphone X thì thấy đáng để có Dynamic island. Bên mỹ đây có bán magsafe popsocket cục cầm chắc ma ko cần case nghe nói chất liệu làm bằng titanium ko ốp rớt có bể ko ta. Mình vụng về lắm,2023-09-13T20:44:09Z,Anh ơi thế có chuyển từ cần gạt rung sang nút bấm ko
32,oonk6n0vMNo,Sao ko có màu đỏ rượu vang cho ip15 promax vậy anh,2023-09-13T14:41:14Z,Vì nó ko làm đó bạn
33,oonk6n0vMNo,Nói chuyện nghe mệt quá,2023-09-13T14:38:58Z,
34,oonk6n0vMNo,Đẹp thế anh,2023-09-13T14:12:36Z,
35,oonk6n0vMNo,Hi ~ sorry i can’t understand your language but i want to know if this back glass close to the pro’s matte ? i love the grip from 14 plus and wish this has the same grip as well,2023-09-13T13:20:53Z,which pro's matte do you talk about?<>@@sayhivoigiaitri4549 hi i mean the back glass of the iphone is a matte glass<>​@@youtubelam1071yes it is
36,oonk6n0vMNo,Anh ơi iPhone 16 dống iPhone i s đó,2023-09-13T13:20:15Z,
37,oonk6n0vMNo,Con 15 promax mà có màu hồng như thường/plus thì cháy hàng😂,2023-09-13T13:06:50Z,Viền titan khó sơn màu lên lắm :)))
38,oonk6n0vMNo,iPhone 15 ngon anh ạ,2023-09-13T12:25:34Z,
39,oonk6n0vMNo,Em thấy anh trên tiktok rồi qua đây coi nè,2023-09-13T11:59:13Z,
40,oonk6n0vMNo,"năm nay Apple cũng thay đổi khá khá nhiều so với trước, dòng 15+ họ mới vĩnh biệt tài thỏ rồi nhể",2023-09-13T11:45:46Z,
41,oonk6n0vMNo,Làm con 15 thường màu đen là đẹp,2023-09-13T11:18:10Z,
42,oonk6n0vMNo,Nhìn giống iphone 14 pro max quá,2023-09-13T10:51:46Z,
43,oonk6n0vMNo,Review xe koniggseg jesko đi a,2023-09-13T10:39:04Z,
44,oonk6n0vMNo,Đẹp quá,2023-09-13T08:09:02Z,
45,oonk6n0vMNo,Bao giờ có thể đặt trước ip15prm vậy ông,2023-09-13T08:01:41Z,
46,oonk6n0vMNo,Nhìn camera thấy ko đẹp,2023-09-13T06:31:22Z,
47,oonk6n0vMNo,Ủa màn trên dòng này là 120hz k hay vẫn 60 zị ad?,2023-09-13T06:12:20Z,60 nha<>60 hoy :))
48,oonk6n0vMNo,"Xem qua xem lai thay moi nguoi VN minh khen ip15, dan My deu noi that vong voi ip nam nay.",2023-09-13T06:03:55Z,
49,oonk6n0vMNo,Qua cephones mua iphone 15 thôi,2023-09-13T05:59:52Z,
50,oonk6n0vMNo,Có màn 120hz ko e ? Hay vẫn dùng màn 60hz,2023-09-13T05:34:56Z,60 😂😂<>@@nguyenngoctran6974 quá nản khi nay đã là năm 2023 mà k nâng nổi
51,oonk6n0vMNo,Xem kénh tiktok trung thấy annh😮,2023-09-13T05:32:58Z,
52,oonk6n0vMNo,năm nay không có màu tím nhỉ,2023-09-13T04:57:34Z,
53,oonk6n0vMNo,Give me ip 15  👏👍,2023-09-13T04:49:26Z,
54,oonk6n0vMNo,Kkkk,2023-09-13T04:48:27Z,
