,Id,Comment,Comment time,Reply
0,eZg4026rlAM,"Mua ngay Galaxy S23 Series tại SamCenter, Có sẵn hàng, giá luôn tốt nhất: http://bit.ly/samcenters23vv",2023-02-18T05:08:51Z,
1,eZg4026rlAM,"Bạn ơi, liên quan đến pin nên chọn bản Ram 8g hay 12g. Cảm ơn bạn.",2023-12-31T01:24:02Z,
2,eZg4026rlAM,Đang phân vân em này với vivo x100 pro quá mấy ae cứu với 😢,2023-12-29T07:27:25Z,
3,eZg4026rlAM,tin tưởng mỗi kênh này revew,2023-11-18T09:58:44Z,
4,eZg4026rlAM,mới ra mua luôn.,2023-11-17T03:44:10Z,
5,eZg4026rlAM,"Xạo pin tui dùng 1 ngày hết, chắc mình dùng đâu đó 12h hết pin, mình mới lấy s23 ultra 256g xong, mình dùng nhieu ứng dụng, dùng nhiều nhất zalo, fb, ticktock, quay phim, chup anh, capcut ... ứng dụng chạy ngầm nữa",2023-11-01T16:02:47Z,
6,eZg4026rlAM,"Nói thật để làm việc liên quan đến Camera thì tôi đã sai lầm khi chọn con này, sau gần 1 tháng tôi phải đổi ngay qua con Mi 13 Ultra và lỗ 5tr",2023-09-06T01:50:45Z,"Có vấn đề gì ở camera con này vậy bạn<>Camera màu nó nhạt, hơn và nhiều vấn để cảm ứng vân tay không nhạy, mình xài xiaomi 11 ultra xong lên SS thế là lại chuyển qua Mi 13 Ultra luôn, bán lỗ lại mất mấy triệu. Nói trung nên thử Mi 13 ultra
@@nangnguyen8592"
7,eZg4026rlAM,Màn hình ám vàng chán lắm,2023-07-29T18:51:43Z,
8,eZg4026rlAM,.,2023-07-03T06:06:57Z,
9,eZg4026rlAM,"Đang dùng s 22 ultra, pin tệ thật, bật sạc max 85 % và ngày phải sạc 2, 3 lần trong khi dùng không nhiều.",2023-05-18T12:31:17Z,
10,eZg4026rlAM,Tôi Đang SD/ ĐT: Sam Sung(M.51 Rất 👌😀👍),2023-05-13T03:51:48Z,
11,eZg4026rlAM,Ko ai speedtest con s23 ultra này với con ipad 11 pro m1 thử hiệu năng nhỉ 😊😊😊,2023-05-09T06:29:58Z,
12,eZg4026rlAM,Không kênh nào test loa dị trời,2023-04-24T06:33:48Z,
13,eZg4026rlAM,"Uc dùng 28p, tôi biết là ông dùng làm gi đấy nha 😂😂😂",2023-04-17T01:33:21Z,
14,eZg4026rlAM,T ifan mà nhìn s23U thấy đẹp vcl :)))),2023-04-12T21:31:48Z,
15,eZg4026rlAM,Cáp sạc theo máy nhiêu w vậy ae,2023-04-12T12:30:48Z,
16,eZg4026rlAM,Con này có 12Gb ram ko anh em,2023-03-15T11:37:39Z,"Có bản 12GB RAM nhé bác

🌟 _Long Ngọng_ 🌟"
17,eZg4026rlAM,Nhưng mình thấy cam truok ảo thế nào ấy,2023-03-13T16:16:53Z,
18,eZg4026rlAM,Ủa anh nghĩ làm rương bách thú r hả,2023-03-08T10:22:42Z,
19,eZg4026rlAM,Tin vui sắp ra mắt Android 14,2023-03-03T13:41:14Z,
20,eZg4026rlAM,từ bây giờ pin samsung ko còn hẻo nữa,2023-03-03T01:21:52Z,
21,eZg4026rlAM,"Test pin phải chơi kiểu mở Wi-Fi, data,  định vị,  Bluetooth kết nối tai nghe, đồng hồ full time; chạy ngầm Google Fit,  Mifit như mình dùng hàng ngày chắc còn 18h quá. Còn lại chụp ảnh bỏ qua, mình chụp ảnh bằng Sony A7m4 với hệ ống kính G Master.",2023-03-02T19:35:19Z,Chuẩn luôn
22,eZg4026rlAM,"có nên mua bản 8GB Ram không ạ, bản 8GB Ram của s22ultr lag quá",2023-03-02T01:43:24Z,"Cơ bản mình dùng thấy 8GB trên S23u là ổn nhé bạn

🌟 _Long Ngọng_ 🌟"
23,eZg4026rlAM,Hay quá,2023-03-01T15:09:16Z,
24,eZg4026rlAM,Lỡ làm mất bút thì có mua lại đc ko ạ,2023-02-26T03:23:47Z,"Được nhá bạn ơi

🌟 _Long Ngọng_ 🌟"
25,eZg4026rlAM,Mau nóng máy,2023-02-25T14:34:33Z,
26,eZg4026rlAM,"đang dùng, rất tuyệt vời.",2023-02-24T03:48:08Z,
27,eZg4026rlAM,"Vấn đề crash thì mình đang dùng thêm ""thư mục bảo mật"" để dùng song song app tele, với dropbox. Nhưng sáng nay thật sự không thể dùng được, cứ vào ""thư mục bảo mật"" là đơ cứng, không mở được app nào trong đấy nữa. Buộc phải khởi động lại máy. Máy 12/512 luôn, cá nhân mình nghĩ do lỗi của phần mềm máy chứ không hẳn do ram 🤔",2023-02-21T13:44:10Z,"Cũng có thể do phần mềm mới là những bản đầu nên chưa ổn định, chờ thôi bác

🌟 _Long Ngọng_ 🌟"
28,eZg4026rlAM,"Fan dòng note 10 năm nay. Thật sự từ ngày dòng Note màn cong, sau là S ultra thì S23U là máy mình thấy dễ cầm nắm nhất. Rất đáng để đổi từ S22U lên luôn",2023-02-21T13:34:34Z,
29,eZg4026rlAM,"Mọi người có thể tư vấn cho em nên chọn Android Snapdragon 8 gen 2 hay iPhone A16 không. Nhu cầu của em là làm kênh Youtube về game và quay màn hình những game ví dụ Liên Minh Tốc Chiến, GTA SA để đăng. Thì mình nên chọn Android hay iPhone? iPhone thì sạc chậm, Android thì ram nhiều, quá khó chọn. Còn ví dụ Android thì cũng không biết nên chọn Gaming phone hay Xiaomi 13 pro hay S23 Ultra.",2023-02-20T13:33:18Z,
30,eZg4026rlAM,Pin ss chỉ được thời gian đầu thôi. 1 thời gian sau thì như hạch,2023-02-20T12:29:55Z,
31,eZg4026rlAM,Có ai chơi game Sky: Children of the light không ạ? Mình muốn hỏi s23u đã được tối ưu đồ hoạ chưa ạ? Trc chơi andr cứ bị răng cưa nên mới chuyển qua ip :(,2023-02-20T03:23:34Z,
32,eZg4026rlAM,Qc qá trời. Bưc mh,2023-02-19T18:13:52Z,
33,eZg4026rlAM,Chụp app thứ 3 thì ios là nhất. vì nó tận dụng được tận gốc mã mở của cam,2023-02-19T17:01:33Z,"Đúng, cái này phải đợi ngày Google họ làm việc trực tiếp với các bên thứ ba may ra mới được

🌟 _Long Ngọng_ 🌟"
34,eZg4026rlAM,Routine có từ One Ui 4.0 rồi. Đâu phải 5.1 mới bắt đầu có.,2023-02-19T16:05:50Z,
35,eZg4026rlAM,"Chuẩn
Thích!",2023-02-19T15:22:45Z,
36,eZg4026rlAM,Riêng mình không thích cách thiết kế mặt sau của nó lắm,2023-02-19T14:12:45Z,
37,eZg4026rlAM,Mong là năm nay SS cũng làm tốt với ZFlip 5 🥹 S23U to quá k vừa túi quần 🥹,2023-02-19T12:44:20Z,
38,eZg4026rlAM,s23u năm nay đáng để lên cấp. đặt thôi,2023-02-19T12:28:08Z,
39,eZg4026rlAM,"02:25 Thời lượng pin, ko phải dung lượng pin nhá",2023-02-19T11:18:52Z,
40,eZg4026rlAM,"Sáng nay mình mua máy S23 Ultra. Máy chính hãng SSVN. Mình không biết đây có phải lỗi hở sáng màn hình không. Rõ nhất là trong phòng tối, màn hình cường độ sáng cao, phần tiếp giáp giữa màn hình và khung máy có hiện tượng hở ánh sáng. Các khoảng hở này ko đều, chỗ có chỗ không, chỗ sáng nhiều chỗ ít. Các bạn kiểm tra các máy S23 ultra khác thử được không?
Hiện tại mình đã nói chuyện với bên kỹ thuật và CSKH của Samsung nhưng chưa có câu trả lời",2023-02-19T09:23:07Z,Kết quả sao rồi bạn
41,eZg4026rlAM,7:00 quen tay cắm bút bên phải nè =))),2023-02-19T08:23:42Z,
42,eZg4026rlAM,Mình đang dùng n9 đỉnh chuyển sang dòng khác để trải nghiệm.ai ngờ cầm thử vào nghiện luôn.,2023-02-19T07:47:15Z,
43,eZg4026rlAM,Uây cái màu mới đẹp quá 🥰,2023-02-19T07:19:06Z,
44,eZg4026rlAM,chắc t bán 13prm chuyển qua SS quá :)),2023-02-19T06:44:54Z,
45,eZg4026rlAM,Vật vờ thu bị hơi nhỏ hay sao ấy nhỉ,2023-02-19T04:19:40Z,
46,eZg4026rlAM,"đang dùng s20 ultra và thấy s23 ultra không khác gì nhiều, so với nhu cầu thì s20 ultra đã quá đủ",2023-02-19T01:14:17Z,"Thông số có thể vậy thôi, nhưng trải nghiệm hai máy khác xa nhau bác nhé. Cách nhau 3 đời mà

🌟 _Long Ngọng_ 🌟<>Trải nghiệm khác xa. Bạn nên thử."
47,eZg4026rlAM,Khung viên năm nay giống sony thật luôn,2023-02-19T01:05:56Z,
48,eZg4026rlAM,Chờ 2 năm nữa mua là ok.,2023-02-19T00:57:24Z,
49,eZg4026rlAM,Chơi trần sida chết m,2023-02-19T00:30:48Z,
50,eZg4026rlAM,Mới lấy 27 củ về việc đầu tiên t làm là làm rớt nó : )),2023-02-19T00:08:12Z,"=)) đen cho bác

🌟 _Long Ngọng_ 🌟"
51,eZg4026rlAM,"Tối hôm 17/2 vừa rồi, được lên hình cùng bạn và sếp Vinh xô tại 136 Ng Thái Học với con s23ul nhận sớm. Vui vui😊😊.",2023-02-18T22:53:23Z,
52,eZg4026rlAM,"Hy vọng kênh tìm hiểu thêm về chính sách đánh thuế CO2 từ Châu Âu, do đó cắt giảm và tái chế được càng nhiều càng tốt. Đó là mục tiêu hướng tới năm 2030 bắt đầu thực thi đó. Đụng tới chén cơm của mấy anh khi bị đánh phí, nên mấy anh mới sốt sắn lên mà cắt gỉam sớm đó.",2023-02-18T18:38:23Z,"Cảm ơn bạn vì thông tin này nhé

🌟 _Long Ngọng_ 🌟"
53,eZg4026rlAM,.,2023-02-18T18:27:33Z,
54,eZg4026rlAM,"Pin ngon
Thiết kế cải thiện
Cam cải thiện
...
Tuy nhiên vẫn xuống tiền với S22U cũ ram 12 vì cảm thấy ram 8 không đủ cho nhu cầu mà bản 12/512 giá lại cao quá 🤒",2023-02-18T18:21:59Z,"Mua bản 8G hối hận đây, 8G lúc mua về nó mặc định mở RAM ảo sẳn hao pin lắm, tắt đi là đỡ liền"
55,eZg4026rlAM,Đơ crash là đặc sản Samsung luôn mình đang dùng s20+ không làm gì cũng đơ,2023-02-18T17:21:22Z,"Lên đời nào bác, S23 e dùng gần như k có đơ luôn

🌟 _Long Ngọng_ 🌟"
56,eZg4026rlAM,.,2023-02-18T17:12:56Z,
