,Id,Date published,Title,Channel title,View count,Like count,Comments count
0,d0E4-cqN0gw,2023-02-02T13:18:35Z,CÙNG SẾP HUY NL TRÊN TAY SIÊU PHẨM GALAXY S23 ULTRA CAMERA 200MP!!,Duy Thẩm,152090,2452,58
1,l1jDNLBOPrY,2023-02-18T03:55:38Z,CÙNG ANH EM SCHANNEL HỒ HỞI PHẤN KHỞI ĐI MUA GALAXY S23 ULTRA!!!,Duy Thẩm,262805,3102,100
2,1Hgzvm6qVx8,2023-02-10T12:54:57Z,"TEST NHANH QUAY VIDEO ""SIÊU CHỐNG RUNG"": GALAXY S23 ULTRA VS iPHONE 14 PRO MAX",Duy Thẩm,90568,1132,58
3,gLZ_LRdjp4c,2023-10-03T04:55:46Z,So sánh iPhone 15 Pro Max và Galaxy S23 Ultra: Camera nhiều khác biệt!,Vật Vờ Studio,176042,1581,394
4,qQ44cvOkuPM,2023-06-24T12:24:09Z,"Tạm biệt Galaxy S23 Ultra, mình xuống Galaxy S23: Nhỏ mà dùng quá sướng",Vật Vờ Studio,80242,969,258
5,Ug7qjB1WRSo,2023-02-07T04:32:00Z,"Đánh giá Galaxy S23 Ultra sau 3 ngày: camera ngon lành, hài lòng về pin | Vật Vờ Studio",Vật Vờ Studio,45864,860,91
6,mOSu4m58YVw,2023-02-04T05:15:28Z,So sánh Galaxy S23 Ultra vs iPhone 14 Pro Max: Nâng cấp nhỏ có ăn được Apple | Vật Vờ Studio,Vật Vờ Studio,123891,1364,397
7,rTknGUbGofU,2023-02-08T05:16:15Z,"So sánh hiệu năng Galaxy S23 Ultra, S22 Ultra và Xiaomi 13: Chip đặc biệt có khác gì đâu?",Vật Vờ Studio,38461,761,141
8,sMddguqI8Zs,2023-04-01T05:33:39Z,"So sánh Find X6 Pro và Galaxy S23 Ultra: Samsung vẫn đỉnh, chưa cần mua OPPO xách tay",Vật Vờ Studio,35128,583,221
9,uqHwdCXfa2I,2023-01-30T05:02:42Z,"Galaxy S23 Ultra đã bị lộ tại cửa hàng bán lẻ, bỏ hẳn Exynos? Giá liệu có tăng?",Vật Vờ Studio,49210,815,75
10,EMifSllgOBk,2022-12-21T05:30:34Z,7 điều Galaxy S23 Ultra cần có để trở thành NHÀ VÔ ĐỊCH Android!,Vật Vờ Studio,34487,650,131
11,cxrXaHk1SVY,2023-04-24T13:27:48Z,Đại chiến Xiaomi 13 Ultra - OPPO Find X6 Pro - Galaxy S23 Ultra,Vật Vờ Studio,56334,812,272
12,tuuW9jPK6Pw,2024-01-03T11:15:04Z,Galaxy S23 Ultra vẫn rất đáng mua khi Galaxy S24 ra mắt?,Dương Dê,31836,331,144
13,TWSECO0ml6A,2023-10-04T11:15:02Z,So sánh iPhone 15 Pro Max vs Galaxy S23 Ultra: GIÁ BÁN QUYẾT ĐỊNH TẤT CẢ,Dương Dê,94583,915,326
