,Id,Date published,Title,Channel title,Tags,View count,Like count,Comments count
0,oonk6n0vMNo,2023-09-12T22:58:55Z,"TRÊN TAY iPHONE 15 VÀ iPHONE 15 PLUS TRỰC TIẾP APPLE PARK 🇺🇸🇺🇸: BỎ TAI THỎ, MÀU SẮC ẤN TƯỢNG",Duy Thẩm,"['duy thẩm', 'duy thẩm tv', 'duy thẩm channel', 'duy thẩm vlog']",163983,1725,156
1,UhCvSW6KZQw,2023-09-29T06:33:29Z,5H SÁNG CÙNG CẢ SCHANNEL ĐI ĐỔI iPHONE 15 MỚI:)),Duy Thẩm,"['duy thẩm', 'duy thẩm tv', 'duy thẩm channel', 'duy thẩm vlog', 'iphone 15', 'iphone 15 pro max', 'iphone 15 pro', 'iphone', 'review iphone 15 pro max', 'iphone 15 plus', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'iphone 15 ultra', 'iphone 15 ra mắt', 'review iphone 15', 'iphone 15 review', 'đánh giá iphone 15', 'giá iphone 15', 'iphone 15 leak', 'iphone 15 titan', 'apple iphone 15', 'iphone 15 series', 'iphone 15 promax', 'iphone 15 chính hãng', 'đi đổi iphone mới', 'schannel đi đổi ịphone 15']",357517,3904,136
2,ile5n_xJaiY,2023-10-12T12:46:03Z,"CẢNH GIÁC KHI MUA iPHONE 15 SERIES: ĐÃ CÓ SEAL GIẢ, CHIẾU UV THOẢI MÁI",Duy Thẩm,"['duy thẩm', 'duy thẩm tv', 'duy thẩm channel', 'duy thẩm vlog', 'iphone 15', 'iphone 15 pro max', 'iphone 15 pro', 'iphone', 'review iphone 15 pro max', 'iphone 15 plus', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro max ra mắt', 'iphone 15 ultra', 'iphone 15 ra mắt', 'review iphone 15', 'iphone 15 review', 'đánh giá iphone 15', 'giá iphone 15', 'iphone 15 titan', 'apple iphone 15', 'iphone 15 series', 'iphone 15 promax', 'iphone 15 chính hãng', 'iphone 15 seal giả']",116188,1126,61
3,p_1kqG_vBbo,2023-09-30T03:02:35Z,ĐỘT NHẬP REVIEW KHO iPHONE 15 CHÍNH HÃNG LỚN NHẤT VIỆT NAM:)),Duy Thẩm,"['duy thẩm', 'duy thẩm tv', 'duy thẩm channel', 'duy thẩm vlog', 'iphone 15', 'iphone 15 pro max', 'iphone 15 pro', 'iphone', 'review iphone 15 pro max', 'iphone 15 plus', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro max ra mắt', 'iphone 15 ultra', 'iphone 15 ra mắt', 'review iphone 15', 'iphone 15 review', 'đánh giá iphone 15', 'giá iphone 15', 'iphone 15 leak', 'iphone 15 titan', 'apple iphone 15', 'iphone 15 series', 'iphone 15 promax', 'iphone 15 chính hãng']",134137,1409,119
4,wMcxoa4EcZY,2023-02-01T09:34:03Z,TỔNG HỢP NHANH VỀ iPHONE 15: LOẠI BỎ DÒNG PRO MAX???,Duy Thẩm,"['duy thẩm', 'duy thẩm tv', 'duy thẩm channel', 'duy thẩm vlog', 'iphone 15', 'iphone 15 pro', 'iphone 15 ultra', 'iphone 15 leaks', 'iphone 15 pro max', 'apple iphone 15', 'iphone 15 rumors', 'iphone 15 plus', 'iphone 15 news', 'iphone 15 trailer', 'iphone 15 review', 'iphone 15 camera', 'iphone 15 release date', 'iphone 15 price', 'iphone 15 pro max 2023', 'iphone 15 battery', 'iphone 15 ultra leaks', 'iphone 15 leaks and rumors', '2023 iphone 15', 'iphone 15 max', 'iphone 15 ultra camera', 'apple iphone 15 ultra']",268078,2845,75
5,uo2LsYzCcN4,2023-09-13T11:42:32Z,"Gần như lột xác, iPhone 15 và 15 Plus rất đáng để lên đời",Vật Vờ Studio,"['Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'vật vờ studio', 'vvs', 'iphone 15', 'iphone 15 pro max', 'review iphone 15 pro max', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro', 'apple', 'iphone', 'iphone 15 pro max ra mắt', 'iphone 15 plus', 'review iphone 15 plus', 'iphone 15 ra mắt']",249963,2745,601
6,DNu-UCmTVmY,2023-12-06T12:02:37Z,Xiaomi 14 - iPhone 15 - Galaxy S23: Flagship tiêu chuẩn nào toàn diện nhất?,Vật Vờ Studio,"['Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'giá bán điện thoại', 'vật vờ studio', 'vvs', 'xiaomi 14', 'review xiaomi 14', 'đánh giá xiaomi 14', 'xiaomi 14 review', 'iphone 15', 'đánh giá iphone 15', 'review iphone 15', 'iphone 15 giá', 'galaxy s23', 's23 review', 'iphone 15 vs xiaomi 14', 'iphone 15 vs galaxy s23', 'galaxy s23 vs xiaomi 14']",60895,765,270
7,lyhszfWhef8,2023-09-25T07:30:31Z,"So sánh iPhone 15 và iPhone 14 Pro: Trên 20 triệu, kèo cân khó chọn!",Vật Vờ Studio,"['Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'vật vờ studio', 'vvs', 'iphone 15', 'iphone 15 pro max', 'review iphone 15 pro max', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro', 'apple', 'iphone', 'iphone 15 pro max ra mắt', 'iphone 15 plus', 'review iphone 15 plus', 'iphone 15 ra mắt', 'iphone 15 vs iphone 14 pro', 'iphone 14 pro vs iphone 15', 'so sánh iphone 15 và iphone 14 pro']",82983,674,199
8,DbTti4ev3mo,2023-12-27T13:10:31Z,"Galaxy S23 Ultra, iPhone 15 và Xiaomi 13: Reviewer chọn làm máy chính vì những thứ này!",Vật Vờ Studio,"['Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'điện thoại giá rẻ', 'đánh giá', 'trên tay', 'review', 'điện thoại trung quốc', 'giá bán', 'giá rẻ', 'mở hộp', 'giá bán điện thoại', 'vật vờ studio', 'vvs', 'xiaomi 13', 'xiaomi 13 review', 'đánh giá xiaomi 13', 's23 ultra', 's23 ultra review', 'đánh giá s23 ultra', 'iphone 15', 'iphone 15 review']",66226,1220,337
9,tLWk2Ngf6bc,2023-09-29T13:04:04Z,Mua iPhone 15 series: Chọn máy nào TỐT NHẤT và ĐÁNG TIỀN NHẤT?,Vật Vờ Studio,"['Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'vật vờ studio', 'vvs', 'iphone 15', 'iphone 15 pro max', 'review iphone 15 pro max', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro', 'apple', 'iphone', 'iphone 15 pro max ra mắt', 'iphone 15 plus', 'review iphone 15 plus', 'iphone 15 ra mắt', 'so sánh iphone 15', 'iphone 15 chính hãng', 'iphone 15 pro max titan']",56700,605,129
10,Ovk3-H7JMus,2023-09-16T05:36:05Z,"iPhone 15 ngon thực sự, hơn 4 triệu mà khác biệt quá lớn với iPhone 14",Vật Vờ Studio,"['Vật vờ', 'vatvo', 'vat vo', 'vinh vat vo', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'vật vờ studio', 'vvs', 'iphone 15', 'iphone 15 pro max', 'review iphone 15 pro max', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro', 'apple', 'iphone', 'iphone 15 pro max ra mắt', 'iphone 15 plus', 'review iphone 15 plus', 'iphone 15 ra mắt']",83290,708,157
11,ypYnlYC7iJo,2023-12-08T11:15:03Z,Đánh giá rất chi tiết iPhone 15 : ĐÂY LÀ NHỮNG ĐIỂM TRỪ!,Dương Dê,"['dương dê', 'điện thoại', 'smartphone', 'iphone 15', 'đánh giá iphone 15', 'đánh giá chi tiết iphone 15', 'khen chê rõ ràng iphone 15', 'ưu điểm iphone 15', 'nhược điểm iphone 15', 'ưu nhược điểm iphone 15', 'iphone', 'apple']",40081,494,112
12,5cQZKGJHoys,2023-12-17T13:30:03Z,Tư vấn điện thoại: iPhone 15 thường bây giờ là đáng mua nhất rồi!,Dương Dê,"['dương dê', 'điện thoại', 'smartphone']",27222,336,101
13,1i19BSgSvXo,2023-11-18T07:15:00Z,"iPhone 15 giá đã quá tốt, liệu có phải sự lựa chọn tốt nhất không?",Dương Dê,"['dương dê', 'điện thoại', 'smartphone']",18275,240,67
14,fi37P7Ptp7o,2023-12-19T11:00:29Z,iPhone 15 nào phù hợp với bạn nhất? Có ít tiền mua được iPhone 15 không?,Dương Dê,"['dương dê', 'điện thoại', 'smartphone']",25605,266,68
15,8Zi-Kp0gWwE,2023-12-31T12:15:00Z,Tư vấn điện thoại: Thà mua iPhone 15 còn hơn iPhone 15 Pro loại này,Dương Dê,"['dương dê', 'điện thoại', 'smartphone']",20182,423,75
16,lidQgHD7XAc,2023-09-26T11:15:03Z,Mở hộp iPhone 15 : Chiếc điện thoại rẻ nhất của Apple năm nay có khác gì,Dương Dê,"['dương dê', 'điện thoại', 'smartphone', 'iphone 15', 'mở hộp iphone 15', 'trên tay iphone 15', 'iphone', 'iphone 15 series']",71291,754,131
17,NMNMgmeVCKA,2023-09-13T01:00:16Z,"iPhone 15 và iPhone 15 Plus: USB-C, Camera 48MP, Dynamic Island, giá từ 22,99 triệu",Tinh tế,"['Tinhte.vn', 'Tinh tế', 'tinhte', 'trên tay', 'đánh giá', 'review', 'công nghệ', 'tinh tế']",22748,222,63
18,dqT91OALNcM,2023-11-02T05:24:56Z,Đánh giá chi tiết iPhone 15 - Chiếc iPhone “thường” tốt nhất nhiều năm trở lại đây,ReLab,"['đánh giá smartphone', 'relab', 'tuấn ngọc', 'review điện thoại', 'review smartphone', 'đánh giá điện thoại', 'công nghệ', 'thành thật thà', 'phong gió', 'review laptop', 'đánh giá chi tiết', 'review smartphone chi tiết', 'iPhone 15', 'iPhone 15 Plus', 'iPhone 15 Pro Max', 'đánh giá chi tiết iPhone 15', 'đánh giá iPhone 15', 'iPhone 15 series', 'Apple A16 Bionic', 'Apple A16']",19872,261,98
19,ENfx4ROm-AM,2023-10-24T10:58:57Z,"iPhone 15 chạm mốc 20 triệu: Mua bây giờ, chưa phải thời điểm thích hợp?",ReLab,"['đánh giá smartphone', 'relab', 'tuấn ngọc', 'review điện thoại', 'review smartphone', 'đánh giá điện thoại', 'công nghệ', 'thành thật thà', 'phong gió', 'review laptop', 'đánh giá chi tiết', 'review smartphone chi tiết', 'apple', 'iphone', 'iphone 15', 'iphone 15 pro max', 'iphone 15 series', 'điện thoại 20 triệu', 'đánh giá chi tiết iPhone 15', 'Chiếc iPhone “thường” tốt nhất']",12777,154,48
20,sPoW4Ca4AGg,2023-12-13T13:00:44Z,iPhone 14 Plus vs. iPhone 15: Vừa TO vừa RẺ hơn 2 triệu có nên chọn 14 Plus?,ReLab,"['đánh giá smartphone', 'relab', 'tuấn ngọc', 'review điện thoại', 'review smartphone', 'đánh giá điện thoại', 'công nghệ', 'thành thật thà', 'phong gió', 'review laptop', 'đánh giá chi tiết', 'review smartphone chi tiết', 'apple', 'iPhone 14', 'iPhone 14 Plus', 'iPhone 15', 'iphone 15 pro max', '14 Plus', 'iphone 14', 'iphone 15 plus', 'iphone 14 pro max', 'flagship', 'điện thoại to', 'ios 17', 'ios 17.2']",16649,188,44
21,FcjfQ_Ff0D0,2023-09-13T05:36:04Z,7 điều Apple KHÔNG NÓI trong sự kiện iPhone 15!!,ReLab,"['đánh giá smartphone', 'relab', 'tuấn ngọc', 'review điện thoại', 'review smartphone', 'đánh giá điện thoại', 'công nghệ', 'thành thật thà', 'phong gió', 'review laptop', 'đánh giá chi tiết', 'review smartphone chi tiết', 'Apple', 'iPhone', 'iPhone 15 series', 'iPhone 15', 'iPhone 15 Pro', 'iPhone 15 Plus', 'iPhone 15 Pro Max', 'camera iPhone 15 Pro', 'iPhone 15 Pro Max Periscope', 'màn hình iPhone', 'Dynamic Island', 'Apple A17 Pro']",70844,1044,176
22,1Emky9zB2Lk,2023-09-12T23:05:30Z,Tất tần tật sự kiện iPhone 15 của Apple!!,ReLab,"['đánh giá smartphone', 'relab', 'tuấn ngọc', 'review điện thoại', 'review smartphone', 'đánh giá điện thoại', 'công nghệ', 'thành thật thà', 'phong gió', 'review laptop', 'đánh giá chi tiết', 'review smartphone chi tiết', 'wonderlust 2023', 'iPhone 15', 'iPhone 15 Plus', 'iPhone 15 Pro', 'iPhone 15 Pro Max', 'Apple Watch 9', 'Apple Watch Ultra', 'Titanium']",66511,860,160
23,iOhYVGv26H4,2023-08-11T12:23:24Z,"1 tháng nữa có iPhone 15 - 7 cập nhật tính năng MỚI NHẤT: Pin trâu hơn, bộ nhớ base cao hơn,...",ReLab,"['đánh giá smartphone', 'relab', 'tuấn ngọc', 'review điện thoại', 'review smartphone', 'đánh giá điện thoại', 'công nghệ', 'thành thật thà', 'phong gió', 'review laptop', 'đánh giá chi tiết', 'review smartphone chi tiết', 'apple', 'iphone', 'iphone 14', 'iphone 14 pro max', 'iphone 15', 'iphone 15 ultra', 'tính năng mới iphone 15', 'ios', 'ios 17']",63004,692,133
24,Vx9JGYsKIn4,2023-11-28T12:33:41Z,Cuối năm rồi mua iPhone 14 hay cố lên iPhone 15 thì tốt hơn? Đừng để hối hận,Vinh Xô,"['vatvo', 'vat vo', 'vật vờ', 'vật', 'vờ', 'vinh vat vo', 'vinh vật vờ', 'vinh xô', 'vinh', 'vinh xo', 'vinh review', 'vật vờ đánh giá', 'vật vờ review', 'iphone 15 review', 'đánh giá iphone 15', 'mua iphone 15', 'giá iphone 15', 'iphone 15 màu hồng', 'iphone 15 chính hãng', 'iphone 15 vs iphone 14', 'iphone 14 vs iPhone 15', 'so sánh iphone 14 vs iphone 15', 'apple', 'iphone']",62416,819,168
25,HKzXudnyv0g,2023-10-12T12:23:13Z,Vinh Xô | Đánh giá iPhone 15: Pin chỉ đủ nửa ngày là hết?,Vinh Xô,"['vatvo', 'vat vo', 'vật vờ', 'vật', 'vờ', 'vinh vat vo', 'vinh vật vờ', 'vinh xô', 'vinh', 'vinh xo', 'vinh review', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'vật vờ studio', 'vvs', 'iphone 15', 'iphone 15 pro max', 'review iphone 15 pro max', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro', 'apple', 'iphone', 'iphone 15 pro max ra mắt']",78684,1182,293
26,HPN8VEW5v5k,2023-09-21T18:16:40Z,9 sai lầm cần tránh khi chọn mua iPhone 15: chưa chắc Pro Max đã ngon nhất,Vinh Xô,"['vatvo', 'vat vo', 'vật vờ', 'vật', 'vờ', 'vinh vat vo', 'vinh vật vờ', 'vinh xô', 'vinh', 'vinh xo', 'vinh review', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'vật vờ studio', 'vvs', 'iphone 15', 'iphone 15 pro max', 'review iphone 15 pro max', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro', 'apple', 'iphone', 'iphone 15 pro max ra mắt']",108713,1423,315
27,4oSUyO2rEpE,2023-09-12T23:38:15Z,Những nâng cấp đáng giá trên iPhone 15 mà anh em cần phải biết #iphone15 #apple #shorts,Vinh Xô,"['vatvo', 'vat vo', 'vật vờ', 'vật', 'vờ', 'vinh vat vo', 'vinh vật vờ', 'vinh xô', 'vinh', 'vinh xo', 'vinh review', 'vật vờ đánh giá', 'vật vờ review']",153717,3013,108
28,V4XIlGHbrUg,2023-09-28T17:04:27Z,Mở hộp iPhone 15 hồng và iPhone 15 Pro Max Titan tự nhiên vừa mở bán tại Việt Nam,Vinh Xô,"['vatvo', 'vat vo', 'vật vờ', 'vật', 'vờ', 'vinh vat vo', 'vinh vật vờ', 'vinh xô', 'vinh', 'vinh xo', 'vinh review', 'đánh giá', 'trên tay', 'review', 'giá bán', 'giá rẻ', 'mở hộp', 'vật vờ studio', 'vvs', 'iphone 15', 'iphone 15 pro max', 'review iphone 15 pro max', 'đánh giá iphone 15 pro max', 'iphone 15 pro max giá', 'giá iphone 15 pro max', 'iphone 15 pro', 'apple', 'iphone', 'iphone 15 pro max ra mắt']",85229,1016,128
29,l3Wd1qLYZgk,2023-12-10T11:00:42Z,"Nên mua iPhone 15 nào, hay mua iPhone 14 cho rẻ?",Duy Luân Dễ Thương,"['duy luân', 'trên tay', 'review', 'đánh giá', 'apple', 'Macbook', 'Ipad', 'Ios', 'Iphone', 'smart home', 'Nhà thông minh', 'Data']",32399,496,116
30,N0lI9Tgy0wg,2023-10-03T11:00:16Z,iPhone 15: đáng mua nhất series iPhone năm nay,Duy Luân Dễ Thương,"['duy luân', 'trên tay', 'review', 'đánh giá', 'apple', 'Macbook', 'Ipad', 'Ios', 'Iphone', 'smart home', 'Nhà thông minh', 'Data']",75690,816,260
31,j7NmyhMaUIg,2023-09-29T04:42:45Z,Review iPhone 15 và iPhone 15 Plus: thay đổi lớn,Duy Luân Dễ Thương,"['duy luân', 'trên tay', 'review', 'đánh giá', 'apple', 'Macbook', 'Ipad', 'Ios', 'Iphone', 'smart home', 'Nhà thông minh', 'Data']",84803,942,206
32,P1JG7DDIZ5w,2023-09-15T03:00:10Z,iPhone 15 / iPhone 15 Plus thay đổi thực dụng hơn cả iPhone 15 Pro,Duy Luân Dễ Thương,"['duy luân', 'trên tay', 'review', 'đánh giá', 'apple', 'Macbook', 'Ipad', 'Ios', 'Iphone', 'smart home', 'Nhà thông minh', 'Data']",116810,1489,371
33,bJtdr6EW85U,2023-09-17T04:09:47Z,Nên mua iPhone 15 nào? Đang xài 14 Pro Max có nên lên iPhone 15 Pro Max?,Duy Luân Dễ Thương,"['duy luân', 'trên tay', 'review', 'đánh giá', 'apple', 'Macbook', 'Ipad', 'Ios', 'Iphone', 'smart home', 'Nhà thông minh', 'Data']",195351,1934,522
34,dLL4njZxsC0,2023-10-05T23:00:14Z,"So sánh iPhone 15 và iPhone 15 Pro, ké thêm iPhone 14 Pro: lựa chọn nào cho iPhone cỡ nhỏ?",Duy Luân Dễ Thương,"['duy luân', 'trên tay', 'review', 'đánh giá', 'apple', 'Macbook', 'Ipad', 'Ios', 'Iphone', 'smart home', 'Nhà thông minh', 'Data']",82277,701,198
35,-yZN7nMKieY,2023-11-02T12:34:05Z,iPHONE 15 ĐÁNH GIÁ CHI TIẾT: ĐÁNG MUA HƠN CẢ 15 PRO MAX !??,AnhEm TV,"['công nghệ', 'điện thoại', 'smartphone', 'PC Gear', 'gaming gear', 'gear', 'máy tính', 'PC', 'Anh Em TV', 'AnhEm TV', 'Anhem', 'AnhEm', 'review', 'đánh giá']",38837,380,68
36,YzFFLEiwdBk,2023-09-12T05:13:35Z,TẤT TẦN TẬT VỀ iPHONE 15 TRƯỚC GIỜ RA MẮT,AnhEm TV,"['công nghệ', 'điện thoại', 'smartphone', 'PC Gear', 'gaming gear', 'gear', 'máy tính', 'PC', 'Anh Em TV', 'AnhEm TV', 'Anhem', 'AnhEm', 'review', 'đánh giá']",29544,353,52
37,8CHIIqhluu0,2023-01-30T12:19:30Z,ĐÂY LÀ iPHONE 15 !??,AnhEm TV,"['công nghệ', 'điện thoại', 'smartphone', 'PC Gear', 'gaming gear', 'gear', 'máy tính', 'PC', 'Anh Em TV', 'AnhEm TV', 'Anhem', 'AnhEm', 'review', 'đánh giá', 'ANHEMTV iPHONE', 'iphone 15 anhemtv', 'anhemtv iPhone 15', 'iphone 15 leak']",247805,3188,199
38,Gmaekhrr0NM,2023-08-30T12:07:33Z,"APPLE CHÍNH THỨC CÔNG BỐ SỰ KIỆN iPHONE 15, MỜI CẢ SẾP HUY NL !??",AnhEm TV,"['công nghệ', 'điện thoại', 'smartphone', 'PC Gear', 'gaming gear', 'gear', 'máy tính', 'PC', 'Anh Em TV', 'AnhEm TV', 'Anhem', 'AnhEm', 'review', 'đánh giá']",37907,583,62
39,DJ5kvqtQBNA,2023-10-13T12:00:20Z,"Đánh giá iPhone 15 - nhỏ gọn, nâng cấp nhiều thứ đã đủ “thuyết phục” ???",Tony Phùng Studio,"['tony phùng', 'tonyphung', 'tony phung', 'review', 'smartphone', 'đánh giá', 'trên tay', 'iPhone', 'iPhone 15', 'đánh giá iPhone 15', 'review iPhone 15', 'đánh giá chi tiết iPhone 15', 'có nên mua iPhone 15']",12637,169,47
40,cc6uHrAtPgE,2023-09-24T12:38:16Z,Chia sẻ chi tiết về iPhone 15 - nhiều trải nghiệm mới lạ hơn !!!,Tony Phùng Studio,"['tony phùng', 'tonyphung', 'tony phung', 'review', 'smartphone', 'đánh giá', 'trên tay', 'iPhone 15', 'review iPhone 15', 'iPhone 15 có gì mới', 'đánh giá iPhone 15', 'đánh giá chi tiết iPhone 15', 'có nên mua iPhone 15', 'nên mua iphone 14 hay 15', 'trải nghiệm iPhone 15', 'bạn cần biết iPhone 15']",11768,181,47
41,Tq0TxhM_0AQ,2023-10-16T12:43:17Z,Cùng tầm giá thì sao phải chọn iPhone 15 ???,Tony Phùng Studio,"['tony phùng', 'tonyphung', 'tony phung', 'review', 'smartphone', 'đánh giá', 'trên tay', 'iPhone 15', 'Galaxy S23 Ultra', 'có nên mua iPhone 15', 'review iPhone 15', 'so sánh iPhone 15 vs galaxy s23 ultra']",14288,224,183
42,M6XOyGjqrzA,2023-09-10T13:14:19Z,iPhone 15 với bộ màu này - QUÁ CHÁN,Điện Thoại Vui TV,"['điện thoại vui', 'điện thoại vui tv', 'ĐiệnThoạiVuiTV', 'Cập nhật iOS', 'Lỗi iOS', 'Mẹo & Thủ Thuật iOS', 'Apple News', 'HGDN| Hỏi gì đáp nấy', 'Apple iPhone', 'iPhone', 'dtv tv', 'dtvtv']",656,20,1
43,XKxVkHpRm6w,2023-02-15T12:46:34Z,"iPhone 15 Series lộ toàn bộ cấu hình - USB-C nhưng cũng có ""this"" có ""that""",Điện Thoại Vui TV,"['điện thoại vui', 'điện thoại vui tv', 'ĐiệnThoạiVuiTV', 'Cập nhật iOS', 'Lỗi iOS', 'Mẹo & Thủ Thuật iOS', 'Apple News', 'HGDN| Hỏi gì đáp nấy', 'Apple iPhone', 'iPhone', 'dtv tv', 'dtvtv']",16670,137,12
