,Id,Date published,Title,Channel title,View count,Like count,Comments count
0,iWHPniNYpFM,2023-10-04T13:07:45Z,SO SÁNH iPHONE 15 PRO MAX VS iPHONE 14 PRO MAX: CÓ ĐÁNG NÂNG CẤP???,Duy Thẩm,385780,3217,359
1,Psr5on0jTUg,2023-09-12T22:45:46Z,"TRÊN TAY iPHONE 15 PRO MAX TRỰC TIẾP TỪ APPLE PARK 🇺🇸🇺🇸: USB-C, KHUNG TITAN SIÊU BỀN",Duy Thẩm,411314,4915,460
2,ckrx80ZK8DI,2023-09-27T01:22:39Z,Đập hộp iPhone 15 Pro Max Natural Titan Chính Hãng VN/A 1TB!! - MÀU ĐẸP THỰC SỰ:)),Duy Thẩm,252862,3309,236
3,2omsW5GEf-E,2023-11-07T12:07:02Z,"UNBOX GẦN 700 TRIỆU TIỀN iPHONE 15 PRO MAX: MẠ VÀNG, FULL TITAN...",Duy Thẩm,180157,1887,100
4,UYXz1j0RUWQ,2023-11-06T12:15:08Z,Đánh giá chi tiết iPhone 15 Pro Max | Vật Vờ Studio,Vật Vờ Studio,188202,2891,414
5,w5km0UaXuzY,2023-09-12T21:22:21Z,Trên tay iPhone 15 Pro Max: iPhone đắt nhất từ 35 triệu đã có USB-C 3,Vật Vờ Studio,415720,4331,741
6,vkulQKrJ3G4,2023-09-22T03:52:38Z,"Cảm nhận thực tế iPhone 15 Pro Max màu Titan tự nhiên: Nhẹ quá, Màu đẹp quá!",Vật Vờ Studio,277893,3115,537
7,0o53NKhxKXA,2023-09-22T05:49:59Z,iPhone 15 Pro Max màu Titan tự nhiên này quá đẹp!,Vật Vờ Studio,157585,3629,111
8,gLZ_LRdjp4c,2023-10-03T04:55:46Z,So sánh iPhone 15 Pro Max và Galaxy S23 Ultra: Camera nhiều khác biệt!,Vật Vờ Studio,175985,1581,394
9,2SARadas0iI,2023-09-23T02:38:13Z,6 giờ dùng Action Button trên iPhone 15 Pro Max: Chán!,Vật Vờ Studio,112713,1566,449
10,EvRIWgVC4BI,2023-09-28T13:28:21Z,So sánh iPhone 15 Pro Max và iPhone 14 Pro Max: Đừng mắc sai lầm khi mua!,Vật Vờ Studio,144662,1588,359
11,OUyQ_9OofOM,2023-09-22T08:00:20Z,iPhone 15 Pro Max thị trường Chợ đen đã lên 50 triệu!,Vật Vờ Studio,54562,1087,46
12,S2pzNb8fCx8,2023-10-16T04:26:21Z,So sánh iPhone 15 Pro Max - 14 Pro Max - 13 Pro Max - 12 Pro Max: Khác biệt ít nhưng đáng tiền!,Vật Vờ Studio,242365,1986,380
13,uTu-iqRIij4,2023-11-25T03:15:01Z,Đánh giá iPhone 15 Pro Max sau 2 tháng bây giờ như thế nào?,Dương Dê,117471,981,208
14,O1AHwGw1qOA,2023-12-02T12:15:01Z,Tư vấn điện thoại: iPhone 15 Pro Max lướt chỉ ngang giá iPhone 14 Pro max,Dương Dê,24139,314,109
15,O5rhY_vwl7k,2023-09-22T04:55:48Z,Trên tay iPhone 15 Pro Max SIÊU MẠNH NHƯNG NHIỀU KHÁC BIỆT KHÔNG NHÌN THẤY,Dương Dê,57627,878,150
16,A9A2qPfahgM,2023-12-06T11:15:00Z,Speedtest iPhone 15 Pro Max vs Red Magic 9 Pro:  LỊCH SỬ ĐÃ THAY ĐỔI?,Dương Dê,26400,422,298
17,que4rVYbXno,2023-10-26T03:15:01Z,So sánh iPhone 15 Pro Max vs Galaxy Z Fold 5 : BẰNG TIỀN CHỌN MÁY NÀO?,Dương Dê,17070,196,129
18,EoGVnOOtQgg,2023-12-28T07:16:14Z,Speedtest iPhone 15 Pro Max vs vivo iQOO 12: BỊ LẬT KÈO RỒI SAO?,Dương Dê,9316,156,70
19,vGPpzthnLEc,2023-09-13T11:15:07Z,iPhone 15 Pro Max giá này đắt hay rẻ?,Dương Dê,75471,841,215
20,Y9N_6Q--SLA,2023-09-25T06:30:10Z,Speedtest iPhone 15 Pro Max vs Galaxy S23 Ultra: BẤT NGỜ THẬT SỰ,Dương Dê,119336,955,467
21,xw3EJQ79MCU,2023-09-22T13:22:46Z,Mở hộp iPhone 15 Pro Max,Tinh tế,66322,589,78
22,-e-TV_2zYwY,2023-10-26T12:00:00Z,Ráng xài iPhone 15 Pro Max 2 tuần nhưng vẫn phải về 15 Pro và đây là lý do,Tinh tế,28954,290,109
23,h45IYOha-vs,2023-09-19T14:00:36Z,Đừng lầm tưởng iPhone 15 Pro Max camera xịn hơn 15 Pro,Tinh tế,17179,174,60
24,WbaB1uuhujo,2023-10-24T14:00:20Z,So sánh nhanh camera iPhone 15 Pro Max và Galaxy S23 Ultra,Tinh tế,10890,154,93
25,qQfASMcAse8,2023-09-29T13:34:50Z,Mở hộp iPhone 15 Pro Max màu trắng chính hãng VN/A,Tinh tế,39129,341,66
26,8W70XqjOxWs,2023-12-18T11:30:04Z,"iPhone 15 Pro Max của Thành sau 2 tháng liên tục dính Panic Full, có nguy cơ không được bảo hành!",ReLab,44638,845,397
27,-DMeScAqRGo,2023-10-20T05:00:53Z,iPhone 15 Pro Max vs. iPhone 14 Pro Max - 5 NÂNG CẤP cho 10 triệu có XỨNG ĐÁNG?,ReLab,24805,321,99
28,2_JVdjWemtc,2023-09-12T22:34:03Z,"Trên tay iPhone 15 Pro Max & iPhone 15 Pro: Nhẹ, chắc chắn, mạnh!",ReLab,122226,1102,180
29,lnjUnidYfKE,2023-10-06T12:00:42Z,iPhone 15 Pro Max sau 1 tuần ra mắt: “Tái định nghĩa” iPhone dòng Pro?,ReLab,15847,205,43
30,brSTUVnAPbs,2023-08-12T05:18:17Z,TOP iPhone Pro Max tốt nhất trước khi iPhone 15 Pro Max ra mắt: Mua máy nào không... hớ?,ReLab,53482,486,116
31,nJOEn3gygDE,2023-11-07T07:55:44Z,iPhone 15 Pro Max Carbon siêu nhẹ; Biến thể full titan đầu tiên trên thế giới: Người Việt làm ra!,ReLab,16203,307,73
32,DN-2G7eGt_g,2023-10-08T11:59:36Z,Đánh giá iPhone 15 Pro Max VNA sau 1 tuần: 5 NÂNG CẤP - ai thực sự phù hợp?,ReLab,18563,226,74
33,vkiHrhkiadE,2023-12-08T12:59:20Z,Chưa năm nào như 2023: 5 mẫu iPhone 15 Pro Max Lock Mỹ ĐỘ SIM không giống ai!,ReLab,8306,189,28
34,aBNBy7bMqLI,2023-10-07T13:09:19Z,Đánh giá iPhone 15 Pro Max sau 1 tuần: Ai thật sự cần chiếc máy này?,Vinh Xô,208475,1844,387
35,gjz-Uh1QRwY,2023-09-15T04:43:14Z,Vinh Xô | Lý do để lên đời iPhone 15 Pro Max nếu đang dùng 14 Pro Max,Vinh Xô,160472,1472,533
36,qMwcbJp8hXA,2023-10-18T12:46:17Z,So sánh chi tiết iPhone 15 Pro Max và iPhone 14 Pro Max: 5 khác biệt quan trọng ở đây!,Vinh Xô,140786,1178,197
37,8jCg0b8xHUk,2023-10-28T13:02:19Z,iPhone 15 Pro Max Titan tự nhiên chỉ 24 triệu: mình nói KHÔNG còn bạn thì sao?,Vinh Xô,54414,577,142
