NumTopics,perplexity
1,-7.179917326677049
2,-7.257231090661665
3,-7.347144007042688
4,-7.436159754666899
5,-7.5123122344789275
6,-7.584105643413165
7,-7.66282951338875
8,-7.751791243952936
9,-7.857765677694934
10,-7.996526396735823
11,-8.239870608231577
12,-8.585433844514936
13,-9.067656218499796
14,-9.99749722213433
15,-11.198911680313351
16,-13.284333113553048
17,-15.575250230487441
18,-17.19604997020791
19,-18.305075040075227
20,-19.05814267314884
21,-19.645075032695736
22,-20.115846032422382
23,-20.807251994840954
24,-21.374852100336742
25,-21.93271117925371
26,-22.483776124570163
27,-23.041446338619313
28,-23.637127946742577
29,-24.187727430674308
30,-24.703090479140677
31,-25.34279448272734
32,-25.89347806281949
33,-26.49750506898816
34,-27.03647322574208
35,-27.6052190602903
36,-28.11476402243021
37,-28.72949083406635
38,-29.324447897175162
39,-29.905496233699893
40,-30.42329895386659
41,-31.34163960975512
42,-31.820513774400762
43,-32.18483659191333
44,-33.18404980541363
45,-33.39875971250264
46,-34.622482903032065
47,-34.95499724780726
48,-35.63936451195974
49,-36.41018801298753
50,-36.972178326705865
